row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
"Lãi thanh lý, nhượng bán tài sản cố định","Lãi thanh lý, nhượng bán tài sản cố định","Lãi thanh lý, nhượng bán tài sản cố định",6.167.342.386,87.233.614.341,6167342386.0,87233614341.0
Thu từ bồi thường,Thu từ bồi thường,Thu từ bồi thường,12.064.429.908,-,12064429908.0,
Thu nhập khác,Thu nhập khác,Thu nhập khác,15.306.945.307,17.632.656.779,15306945307.0,17632656779.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,33.538.717.601,104.866.271.120,33538717601.0,104866271120.0
Chỉ phí phạt,Chỉ phí phạt,Chỉ phí phạt,4.002.350.523,1.427.371.552,4002350523.0,1427371552.0
Chỉ phí khác,Chỉ phí khác,Chỉ phí khác,3.365.610.135,6.140.719.842,3365610135.0,6140719842.0
Chỉ phí khác,Chỉ phí khác,Chỉ phí khác,7.367.960.658,7.568.091.394,7367960658.0,7568091394.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,26.170.756.943,97.298.179.726,26170756943.0,97298179726.0
