row_label_raw,row_label_full,Số đầu nămVND,Số phải thu trong nămVND,Số đã căn trừ trong nămVND,Số cuối nămVND,numeric__Số phải thu trong nămVND,numeric__Số đã căn trừ trong nămVND,numeric__Số cuối nămVND
30.506.921,30.506.921,30.506.921,1.266.489.975,1.278.001.123,18.995.773,1266489975.0,1278001123.0,18995773.0
19.109.824.699,19.109.824.699,19.109.824.699,712.186.503,18.213.248.384,1.608.762.818,712186503.0,18213248384.0,1608762818.0
2.870.895,2.870.895,2.870.895,104.743.413,72.971.466,34.642.842,104743413.0,72971466.0,34642842.0
9.160.800.000,9.160.800.000,9.160.800.000,-,9.160.800.000,-,,9160800000.0,
28.304.002.515,28.304.002.515,28.304.002.515,2.083.419.891,28.725.020.973,1.662.401.433,2083419891.0,28725020973.0,1662401433.0
Số đầu nămVND,Số đầu nămVND,Số đầu nămVND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,Số cuối nămVND,,,
14.020.915.260,Số đầu nămVND > 14.020.915.260,14.020.915.260,255.814.896.098,258.749.032.402,11.086.778.956,255814896098.0,258749032402.0,11086778956.0
-,Số đầu nămVND > -,-,29.808.078.529,29.735.926.809,72.151.720,29808078529.0,29735926809.0,72151720.0
73.462.276.573,Số đầu nămVND > 73.462.276.573,73.462.276.573,224.848.613.752,243.728.819.895,54.582.070.430,224848613752.0,243728819895.0,54582070430.0
5.249.511.831,Số đầu nămVND > 5.249.511.831,5.249.511.831,36.260.508.450,35.193.708.142,6.316.312.139,36260508450.0,35193708142.0,6316312139.0
1.428.108,Số đầu nămVND > 1.428.108,1.428.108,3.030.234.813,3.030.234.813,1.428.108,3030234813.0,3030234813.0,1428108.0
-,Số đầu nămVND > -,-,35.000.000,35.000.000,-,35000000.0,35000000.0,
270.721.570,Số đầu nămVND > 270.721.570,270.721.570,11.539.902.544,11.623.034.363,187.589.751,11539902544.0,11623034363.0,187589751.0
93.004.853.342,Số đầu nămVND > 93.004.853.342,93.004.853.342,561.337.234.186,582.095.756.424,72.246.331.104,561337234186.0,582095756424.0,72246331104.0
