row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.207.921.258.308,1.278.293.115.224,1207921258308.0,1278293115224.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.524.778.767.300,1.620.043.474.800,1524778767300.0,1620043474800.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,852.428.213.190,973.259.312.701,852428213190.0,973259312701.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.585.128.238.798,3.871.595.902.725,3585128238798.0,3871595902725.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,3.433.469.810.952,2.988.094.159.340,3433469810952.0,2988094159340.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.089.588.938.306,1.326.472.292.806,1089588938306.0,1326472292806.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,125.208.501.040,156.653.569.502,125208501040.0,156653569502.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,4.648.267.250.298,4.471.220.021.648,4648267250298.0,4471220021648.0
