row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.814.401.620.000,205.586.711.295,47.218.399.245,620.279.985.279,974.214.994.936,4.661.701.710.755,2814401620000.0,205586711295.0,47218399245.0,620279985279.0,974214994936.0,4661701710755.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,49.000.000.000,49.000.000.000,,,,,49000000000.0,49000000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,652.092.847.637,127.977.882.893,780.070.730.530,,,,652092847637.0,127977882893.0,780070730530.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,(281.442.162.000),(29.218.650.000),(310.660.812.000),,,,-281442162000.0,-29218650000.0,-310660812000.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,108.971.335.921,-,(108.971.335.921),-,-,,108971335921.0,,-108971335921.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(26.106.493.980),(4.397.508.101),(30.504.002.081),,,,-26106493980.0,-4397508101.0,-30504002081.0
"Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị",-,-,-,(4.936.775.533),(666.996.091),(5.603.771.624),,,,-4936775533.0,-666996091.0,-5603771624.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,(4.409.167.308),(36.780.582),(4.445.947.890),,,,-4409167308.0,-36780582.0,-4445947890.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.814.401.620.000,314.558.047.216,47.218.399.245,846.506.898.174,1.116.872.943.055,5.139.557.907.690,2814401620000.0,314558047216.0,47218399245.0,846506898174.0,1116872943055.0,5139557907690.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,126.664.545.455,126.664.545.455,,,,,126664545455.0,126664545455.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,689.610.424.076,131.073.177.050,820.683.601.126,,,,689610424076.0,131073177050.0,820683601126.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,(281.442.162.000),(60.643.128.000),(342.085.290.000),,,,-281442162000.0,-60643128000.0,-342085290000.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,214.114.698.761,-,(214.114.698.761),-,-,,214114698761.0,,-214114698761.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(34.710.912.503),(6.741.548.538),(41.452.461.041),,,,-34710912503.0,-6741548538.0,-41452461041.0
"Thù lao Ban Quản lý điều hành, Hội đồng Quản trị","Thù lao Ban Quản lý điều hành, Hội đồng Quản trị","Thù lao Ban Quản lý điều hành, Hội đồng Quản trị",-,-,-,(6.324.455.160),(1.093.777.166),(7.418.232.326),,,,-6324455160.0,-1093777166.0,-7418232326.0
Điều chỉnh lợi ích cổ đông không kiểm soát,Điều chỉnh lợi ích cổ đông không kiểm soát,Điều chỉnh lợi ích cổ đông không kiểm soát,-,-,-,(1.934.889.571),1.934.889.571,-,,,,-1934889571.0,1934889571.0,
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,(6.685.481.540),1.701.201.540,(4.984.280.000),,,,-6685481540.0,1701201540.0,-4984280000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.814.401.620.000,528.672.745.977,47.218.399.245,990.904.722.715,1.309.768.302.967,5.690.965.790.904,2814401620000.0,528672745977.0,47218399245.0,990904722715.0,1309768302967.0,5690965790904.0
