row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,5.306.332.886.400,5.062.673.705.322,,300.0,,5306332886400.0,5062673705322.0
I.,I.,I.,Nợ ngắn hạn,310,,2.522.687.622.562,2.404.775.728.039,,310.0,,2522687622562.0,2404775728039.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,16,602.987.631.251,775.279.144.410,,311.0,16.0,602987631251.0,775279144410.0
2.,2.,2.,Nguồn mua trả tiền trước ngắn hạn,312,17,49.046.049.549,17.700.629.761,,312.0,17.0,49046049549.0,17700629761.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,18,72.246.331.104,93.004.853.342,,313.0,18.0,72246331104.0,93004853342.0
4.,4.,4.,Phải trả người lao động,314,,170.034.691.297,153.869.819.731,,314.0,,170034691297.0,153869819731.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,19,120.379.951.729,151.819.821.495,,315.0,19.0,120379951729.0,151819821495.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,507.500.000,7.709.255.117,,318.0,,507500000.0,7709255117.0
7.,7.,7.,Phải trả ngắn hạn khác,319,20,231.467.185.742,263.965.627.716,,319.0,20.0,231467185742.0,263965627716.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,21,1.014.552.696.858,663.352.997.672,,320.0,21.0,1014552696858.0,663352997672.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,22,154.586.318.161,179.994.713.283,,321.0,22.0,154586318161.0,179994713283.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,106.879.266.871,98.078.865.512,,322.0,,106879266871.0,98078865512.0
II.,II.,II.,Nợ dài hạn,330,,2.783.645.263.838,2.657.897.977.283,,330.0,,2783645263838.0,2657897977283.0
1.,1.,1.,Phải trả người bán dài hạn,331,16,230.891.136.000,259.752.528.000,,331.0,16.0,230891136000.0,259752528000.0
2.,2.,2.,Chi phí phải trả dài hạn,333,19,4.828.549.311,4.833.748.007,,333.0,19.0,4828549311.0,4833748007.0
3.,3.,3.,Phải trả dài hạn khác,337,20,32.622.104.000,32.943.583.653,,337.0,20.0,32622104000.0,32943583653.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,23,2.418.917.114.094,2.324.741.161.668,,338.0,23.0,2418917114094.0,2324741161668.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,22,96.386.360.433,35.626.955.955,,342.0,22.0,96386360433.0,35626955955.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,5.690.965.790.904,5.139.557.907.690,,400.0,,5690965790904.0,5139557907690.0
I.,I.,I.,Vốn chủ sở hữu,410,24,5.690.965.790.904,5.139.557.907.690,,410.0,24.0,5690965790904.0,5139557907690.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,2.814.401.620.000,2.814.401.620.000,,411.0,,2814401620000.0,2814401620000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.814.401.620.000,2.814.401.620.000,,,,2814401620000.0,2814401620000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,528.672.745.977,314.558.047.216,,418.0,,528672745977.0,314558047216.0
3.,3.,3.,Quỹ khác thuộc vốn chủ sở hữu,420,,47.218.399.245,47.218.399.245,,420.0,,47218399245.0,47218399245.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,990.904.722.715,846.506.898.174,,421.0,,990904722715.0,846506898174.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,301.294.298.639,194.414.050.537,,,,301294298639.0,194414050537.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,689.610.424.076,652.092.847.637,,,,689610424076.0,652092847637.0
5.,5.,5.,Lợi ích cổ đông không kiểm soát,429,,1.309.768.302.967,1.116.872.943.055,,429.0,,1309768302967.0,1116872943055.0
