row_label_raw,row_label_full,col_0,01/01/2015,Số phải nộp trong năm,Số đã thực nộp trong năm,31/12/2015,numeric__01/01/2015,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__31/12/2015
Phải nộp,Phải nộp,Phải nộp,682.838.799,28.614.871.703,3.937.516.214,25.360.194.288,682838799.0,28614871703.0,3937516214.0,25360194288.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,3.805.737.290,-,3.805.737.290,,3805737290.0,,3805737290.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,21.493.631.289,-,21.493.631.289,,21493631289.0,,21493631289.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,682.838.799,2.453.009.405,3.075.022.495,60.825.709,682838799.0,2453009405.0,3075022495.0,60825709.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",,421.636.219,421.636.219,-,,421636219.0,421636219.0,
Thuế khác,Thuế khác,Thuế khác,-,440.857.500,440.857.500,-,,440857500.0,440857500.0,
Phải thu,Phải thu,Phải thu,1.217.822.467,1.155.877.467,15.120.000,77.065.000,1217822467.0,1155877467.0,15120000.0,77065000.0
Thuế giá trị gia tăng nộp thừa,Thuế giá trị gia tăng nộp thừa,Thuế giá trị gia tăng nộp thừa,61.945.000,-,15.120.000,77.065.000,61945000.0,,15120000.0,77065000.0
Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,1.104.275.772,1.104.275.772,-,-,1104275772.0,1104275772.0,,
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",51.601.695,51.601.695,-,-,51601695.0,51601695.0,,
