row_label_raw,row_label_full,col_0,31/12/2015 > Giá trị ghi số,31/12/2015 > Dự phòng,01/01/2015 > Giá trị ghi số,01/01/2015 > Dự phòng,numeric__31/12/2015 > Giá trị ghi số,numeric__31/12/2015 > Dự phòng,numeric__01/01/2015 > Giá trị ghi số,numeric__01/01/2015 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,159.236.472.901,-,67.225.580.446,-,159236472901.0,,67225580446.0,
"- Phải thu cổ tức, lợi nhuận được chia","- Phải thu cổ tức, lợi nhuận được chia","- Phải thu cổ tức, lợi nhuận được chia",96.625.501.612,-,417.180.822,-,96625501612.0,,417180822.0,
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",524.300.000,-,5.400.000.000,-,524300000.0,,5400000000.0,
- Tạm ứng,- Tạm ứng,- Tạm ứng,27.279.605.242,-,19.606.037.448,-,27279605242.0,,19606037448.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,34.807.066.047,-,41.802.362.176,-,34807066047.0,,41802362176.0,
Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,-,-,32.116.197.379,-,,,32116197379.0,
Trung tâm phát triển quỹ đất huyện Từ Liêm,Trung tâm phát triển quỹ đất huyện Từ Liêm,Trung tâm phát triển quỹ đất huyện Từ Liêm,14.170.795.112,-,-,-,14170795112.0,,,
Phải thu đối tượng khác,Phải thu đối tượng khác,Phải thu đối tượng khác,20.636.270.935,-,9.686.164.797,-,20636270935.0,,9686164797.0,
Dài hạn,Dài hạn,Dài hạn,857.894.057.980,-,638.075.247.730,-,857894057980.0,,638075247730.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,857.894.057.980,-,638.075.247.730,-,857894057980.0,,638075247730.0,
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,857.894.057.980,,638.075.247.730,,857894057980.0,,638075247730.0,
Tổng,Tổng,Tổng,1.017.130.530.881,-,705.300.828.176,-,1017130530881.0,,705300828176.0,
