row_label_raw,row_label_full,31/12/2015,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,numeric__Dưới 1 nămVND,numeric__Từ 1-5 nămVND,numeric__TổngVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,280.812.638.355,-,280.812.638.355,280812638355.0,,280812638355.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,622.241.162.119,857.894.057.980,1.480.135.220.099,622241162119.0,857894057980.0,1480135220099.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,10.130.000.000,-,10.130.000.000,10130000000.0,,10130000000.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,12.447.190.322,-,12.447.190.322,12447190322.0,,12447190322.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,6.130.000.000,6.130.000.000,,6130000000.0,6130000000.0
01/01/2015,01/01/2015,01/01/2015,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,,,
Tiền và các khoản tương đương tiền,01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,111.813.807.393,-,111.813.807.393,111813807393.0,,111813807393.0
Phải thu khách hàng và phải thu khác,01/01/2015 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,447.643.921.466,638.075.247.730,1.085.719.169.196,447643921466.0,638075247730.0,1085719169196.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,-,-,-,,,
Đầu tư ngắn hạn,Các khoản cho vay > Đầu tư ngắn hạn,Đầu tư ngắn hạn,12.372.092.168,-,12.372.092.168,12372092168.0,,12372092168.0
Đầu tư dài hạn,Các khoản cho vay > Đầu tư dài hạn,Đầu tư dài hạn,-,85.212.349.400,85.212.349.400,,85212349400.0,85212349400.0
