row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
Số dư tại 01/01/2014,Số dư tại 01/01/2014,Số dư tại 01/01/2014,646.474.910.000,5.154.600.587,42.389.217.905,10.053.827.604,704.072.556.096,646474910000.0,5154600587.0,42389217905.0,10053827604.0,704072556096.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,,,,,
Tăng vốn,Tăng trong năm > Tăng vốn,Tăng vốn,300.000.000.000,-,-,-,300.000.000.000,300000000000.0,,,,300000000000.0
Phân phối lợi nhuận,Tăng trong năm > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,2.500.000.000,-,2.500.000.000,,,2500000000.0,,2500000000.0
Lãi,Tăng trong năm > Lãi,Lãi,-,-,-,255.830.552.561,255.830.552.561,,,,255830552561.0,255830552561.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,,,,,,,,,
Phân phối lợi nhuận,Giảm trong năm > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,3.000.000.000,3.000.000.000,,,,3000000000.0,3000000000.0
Giảm khác,Giảm trong năm > Giảm khác,Giảm khác,-,1.420.536.022,-,57.659.518,1.478.195.540,,1420536022.0,,57659518.0,1478195540.0
Số dư tại 31/12/2014,Giảm trong năm > Số dư tại 31/12/2014,Số dư tại 31/12/2014,946.474.910.000,3.734.064.565,44.889.217.905,262.826.720.647,1.257.924.913.117,946474910000.0,3734064565.0,44889217905.0,262826720647.0,1257924913117.0
Số dư tại 01/01/2015,Giảm trong năm > Số dư tại 01/01/2015,Số dư tại 01/01/2015,946.474.910.000,3.734.064.565,44.889.217.905,262.826.720.647,1.257.924.913.117,946474910000.0,3734064565.0,44889217905.0,262826720647.0,1257924913117.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,,,,,
Tăng vốn,Tăng trong năm > Tăng vốn,Tăng vốn,337.572.420.000,70.000.000.000,-,-,407.572.420.000,337572420000.0,70000000000.0,,,407572420000.0
Lãi trong năm,Tăng trong năm > Lãi trong năm,Lãi trong năm,-,-,-,159.685.122.673,159.685.122.673,,,,159685122673.0,159685122673.0
Phân phối lợi nhuận,Tăng trong năm > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,25.583.055.256,-,25.583.055.256,,,25583055256.0,,25583055256.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,
Trích lập các quỹ,Giảm trong năm > Trích lập các quỹ,Trích lập các quỹ,,,,35.583.055.256,35.583.055.256,,,,35583055256.0,35583055256.0
Chia trả cổ tức,Giảm trong năm > Chia trả cổ tức,Chia trả cổ tức,-,-,-,137.572.420.000,137.572.420.000,,,,137572420000.0,137572420000.0
Giảm khác (*),Giảm trong năm > Giảm khác (*),Giảm khác (*),-,3.495.716.132,-,-,3.495.716.132,,3495716132.0,,,3495716132.0
Số dư tại 31/12/2015,Giảm trong năm > Số dư tại 31/12/2015,Số dư tại 31/12/2015,1.284.047.330.000,70.238.348.433,70.472.273.161,249.356.368.064,1.674.114.319.658,1284047330000.0,70238348433.0,70472273161.0,249356368064.0,1674114319658.0
