row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm tin học,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm tin học,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư tại 01/01/2015,NGUYÊN GIÁ > Số dư tại 01/01/2015,Số dư tại 01/01/2015,102.878.251,553.581.637,656.459.888,102878251.0,553581637.0,656459888.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,-,,,
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số dư tại 31/12/2015,Giảm trong năm > Số dư tại 31/12/2015,Số dư tại 31/12/2015,102.878.251,553.581.637,656.459.888,102878251.0,553581637.0,656459888.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư tại 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2015,Số dư tại 01/01/2015,34.369.176,525.299.737,559.668.913,34369176.0,525299737.0,559668913.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,4.304.232,10.993.596,15.297.828,4304232.0,10993596.0,15297828.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,4.304.232,10.993.596,15.297.828,4304232.0,10993596.0,15297828.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số dư tại 31/12/2015,Giảm trong năm > Số dư tại 31/12/2015,Số dư tại 31/12/2015,38.673.408,536.293.333,574.966.741,38673408.0,536293333.0,574966741.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại 01/01/2015,Tại 01/01/2015,68.509.075,28.281.900,96.790.975,68509075.0,28281900.0,96790975.0
Tại 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại 31/12/2015,Tại 31/12/2015,64.204.843,17.288.304,81.493.147,64204843.0,17288304.0,81493147.0
