row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântải, truyền dẫn","Thiết bị,dụng cụ quản lý",Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2015,NGUYÊN GIÁ > Số dư tại 01/01/2015,Số dư tại 01/01/2015,19.957.828.489,1.528.176.091,17.941.702.238,3.642.604.823,43.070.311.641,19957828489.0,1528176091.0,17941702238.0,3642604823.0,43070311641.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,9.564.765.182,-,9.564.765.182,,,9564765182.0,,9564765182.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,,9.564.765.182,-,9.564.765.182,,,9564765182.0,,9564765182.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,-,1.276.078.476,-,1.276.078.476,,,1276078476.0,,1276078476.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,,1.276.078.476,-,1.276.078.476,,,1276078476.0,,1276078476.0
Số dư tại 31/12/2015,NGUYÊN GIÁ > Số dư tại 31/12/2015,Số dư tại 31/12/2015,19.957.828.489,1.528.176.091,26.230.388.944,3.642.604.823,51.358.998.347,19957828489.0,1528176091.0,26230388944.0,3642604823.0,51358998347.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,
Số dư tại 01/01/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư tại 01/01/2015,Số dư tại 01/01/2015,7.197.777.055,1.306.882.787,4.958.740.971,2.857.327.423,16.320.728.236,7197777055.0,1306882787.0,4958740971.0,2857327423.0,16320728236.0
Tăng trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tăng trong năm,Tăng trong năm,679.052.220,79.341.876,2.410.729.738,206.484.768,3.375.608.602,679052220.0,79341876.0,2410729738.0,206484768.0,3375608602.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,679.052.220,79.341.876,2.410.729.738,206.484.768,3.375.608.602,679052220.0,79341876.0,2410729738.0,206484768.0,3375608602.0
Giảm trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,-,1.180.485.608,-,1.180.485.608,,,1180485608.0,,1180485608.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,,1.180.485.608,-,1.180.485.608,,,1180485608.0,,1180485608.0
Số dư tại 31/12/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư tại 31/12/2015,Số dư tại 31/12/2015,7.876.829.275,1.386.224.663,6.188.985.101,3.063.812.191,18.515.851.230,7876829275.0,1386224663.0,6188985101.0,3063812191.0,18515851230.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại 01/01/2015,Tại 01/01/2015,12.760.051.434,221.293.304,12.982.961.267,785.277.400,26.749.583.405,12760051434.0,221293304.0,12982961267.0,785277400.0,26749583405.0
Tại 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại 31/12/2015,Tại 31/12/2015,12.080.999.214,141.951.428,20.041.403.843,578.792.632,32.843.147.117,12080999214.0,141951428.0,20041403843.0,578792632.0,32843147117.0
