row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốc,31/12/2015 > Giá trị hợp lý,31/12/2015 > Dự phòng,01/01/2015 > Giá gốc,01/01/2015 > Giá trị hợp lý,01/01/2015 > Dự phòng,numeric__31/12/2015 > Giá gốc,numeric__31/12/2015 > Giá trị hợp lý,numeric__31/12/2015 > Dự phòng,numeric__01/01/2015 > Giá gốc,numeric__01/01/2015 > Giá trị hợp lý,numeric__01/01/2015 > Dự phòng
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,1.304.157.984.044,1.331.840.690.770,-,639.445.715.898,678.590.595.201,-,1304157984044.0,1331840690770.0,,639445715898.0,678590595201.0,
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,50.000.000,563.265.512,-,50.000.000,194.056.429,-,50000000.0,563265512.0,,50000000.0,194056429.0,
Công ty CP Tasco Nam Thái,Công ty CP Tasco Nam Thái,Công ty CP Tasco Nam Thái,262.627.781.000,289.139.812.977,-,154.185.820.000,192.938.790.535,-,262627781000.0,289139812977.0,,154185820000.0,192938790535.0,
Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,311.446.945.616,311.540.499.285,-,181.491.876.715,181.503.709.656,-,311446945616.0,311540499285.0,,181491876715.0,181503709656.0,
Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,343.278.019.183,343.283.378.955,-,300.658.019.183,300.663.378.955,-,343278019183.0,343283378955.0,,300658019183.0,300663378955.0,
Công ty CP Tasco Thành Công,Công ty CP Tasco Thành Công,Công ty CP Tasco Thành Công,3.060.000.000,3.611.421.646,-,3.060.000.000,3.290.659.626,-,3060000000.0,3611421646.0,,3060000000.0,3290659626.0,
Công ty CP VETC,Công ty CP VETC,Công ty CP VETC,27.175.709.567,27.182.783.717,-,-,-,-,27175709567.0,27182783717.0,,,,
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,356.519.528.678,356.519.528.678,-,-,-,-,356519528678.0,356519528678.0,,,,
"Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết",301.677.049.400,315.691.249.053,(2.873.833.698),20.769.700.000,16.909.026.908,(2.658.687.400),301677049400.0,315691249053.0,-2873833698.0,20769700000.0,16909026908.0,-2658687400.0
Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,211.907.349.400,229.982.998.814,-,,-,-,211907349400.0,229982998814.0,,,,
Công ty TNHH BOT Hùng Thắng-Phú Thọ,Công ty TNHH BOT Hùng Thắng-Phú Thọ,Công ty TNHH BOT Hùng Thắng-Phú Thọ,69.000.000.000,69.000.000.000,-,-,-,,69000000000.0,69000000000.0,,,,
Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,16.969.700.000,13.463.627.845,(2.336.336.527),16.969.700.000,13.661.576.161,(2.121.190.229),16969700000.0,13463627845.0,-2336336527.0,16969700000.0,13661576161.0,-2121190229.0
Công ty CP Tasco Thăng Long,Công ty CP Tasco Thăng Long,Công ty CP Tasco Thăng Long,1.800.000.000,1.784.098.341,-,1.800.000.000,1.784.947.918,-,1800000000.0,1784098341.0,,1800000000.0,1784947918.0,
Công ty CP D - Tech,Công ty CP D - Tech,Công ty CP D - Tech,2.000.000.000,1.460.524.053,(537.497.171),2.000.000.000,1.462.502.829,(537.497.171),2000000000.0,1460524053.0,-537497171.0,2000000000.0,1462502829.0,-537497171.0
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,6.130.000.000,6.130.000.000,-,85.212.349.400,85.212.349.400,-,6130000000.0,6130000000.0,,85212349400.0,85212349400.0,
Công ty CP ĐT PT Nhà và Đô thị HUD8,Công ty CP ĐT PT Nhà và Đô thị HUD8,Công ty CP ĐT PT Nhà và Đô thị HUD8,4.500.000.000,4.500.000.000,-,4.500.000.000,4.500.000.000,-,4500000000.0,4500000000.0,,4500000000.0,4500000000.0,
Công ty CP Cotabig,Công ty CP Cotabig,Công ty CP Cotabig,300.000.000,300.000.000,,300.000.000,300.000.000,-,300000000.0,300000000.0,,300000000.0,300000000.0,
Công ty Cổ phần TIC,Công ty Cổ phần TIC,Công ty Cổ phần TIC,1.330.000.000,1.330.000.000,-,1.330.000.000,1.330.000.000,-,1330000000.0,1330000000.0,,1330000000.0,1330000000.0,
Tổng Công ty Xây dựng Thăng Long,Tổng Công ty Xây dựng Thăng Long,Tổng Công ty Xây dựng Thăng Long,-,-,,79.082.349.400,79.082.349.400,-,,,,79082349400.0,79082349400.0,
Tổng,Tổng,Tổng,1.611.965.033.444,1.653.661.939.823,(2.873.833.698),745.427.765.298,780.711.971.509,(2.658.687.400),1611965033444.0,1653661939823.0,-2873833698.0,745427765298.0,780711971509.0,-2658687400.0
