row_label_raw,row_label_full,col_0,Tính chấtgiao dịch,Năm 2015VND,Năm 2014VND,numeric__Tính chấtgiao dịch,numeric__Năm 2015VND,numeric__Năm 2014VND
Hội đồng Quản trị và Ban Điều hành,Hội đồng Quản trị và Ban Điều hành,Hội đồng Quản trị và Ban Điều hành,Lương và thù lao,4.855.071.824,2.087.403.603,,4855071824.0,2087403603.0
Tổng,Tổng,Tổng,,4.855.071.824,2.087.403.603,,4855071824.0,2087403603.0
Giao dịch với các bên liên quan khác,Giao dịch với các bên liên quan khác,Giao dịch với các bên liên quan khác,Giao dịch với các bên liên quan khác,Giao dịch với các bên liên quan khác,Giao dịch với các bên liên quan khác,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Năm 2015VND,Năm 2014VND,,,
Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,Giao dịch bán hàng,,,
Công ty Cổ phần Tasco Thành Công,Giao dịch bán hàng > Công ty Cổ phần Tasco Thành Công,Công ty Cổ phần Tasco Thành Công,Công ty con,180.000.000,180.000.000,,180000000.0,180000000.0
Số dư với các bên liên quan,Số dư với các bên liên quan,Số dư với các bên liên quan,Số dư với các bên liên quan,Số dư với các bên liên quan,Số dư với các bên liên quan,,,
,,,,31/12/2015VND,01/01/2015VND,,,
1. Các khoản phải thu,Số dư với các bên liên quan > 1. Các khoản phải thu,1. Các khoản phải thu,,1.090.749.475.782,807.094.333.387,,1090749475782.0,807094333387.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,
Công ty Cổ phần Tasco Thành Công,Phải thu khách hàng > Công ty Cổ phần Tasco Thành Công,Công ty Cổ phần Tasco Thành Công,,-,49.500.000,,,49500000.0
Công ty CP VETC,Phải thu khách hàng > Công ty CP VETC,Công ty CP VETC,,74.250.000,-,,74250000.0,
Công ty CP Bất động sản Thái An,Phải thu khách hàng > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,,132.102.200.000,132.102.200.000,,132102200000.0,132102200000.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,
Công ty TNHH MTV Tasco 6,Phải thu khác > Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,,857.894.057.980,638.075.247.730,,857894057980.0,638075247730.0
Công ty TNHH MTV Tasco Quảng Bình,Phải thu khác > Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,,17.467.909.473,-,,17467909473.0,
Công ty TNHH MTV Tasco Hải Phòng,Phải thu khác > Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,,358.070.000,,,358070000.0,
Công ty TNHH MTV □ Tasco Nam Định,Phải thu khác > Công ty TNHH MTV □ Tasco Nam Định,Công ty TNHH MTV □ Tasco Nam Định,,-,32.116.197.379,,,32116197379.0
Công ty CP VETC,Phải thu khác > Công ty CP VETC,Công ty CP VETC,,276.270.000,-,,276270000.0,
Công ty Cổ phần Tasco Nam Thái,Phải thu khác > Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,,76.480.182.051,-,,76480182051.0,
Công ty Cổ phần Tasco Thành Công,Phải thu khác > Công ty Cổ phần Tasco Thành Công,Công ty Cổ phần Tasco Thành Công,,876.180.822,417.180.822,,876180822.0,417180822.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,,
Công ty Cổ phần Tasco Nam Thái,Trả trước cho người bán > Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,,5.220.355.456,4.334.007.456,,5220355456.0,4334007456.0
2. Các khoản phải trả,Trả trước cho người bán > 2. Các khoản phải trả,2. Các khoản phải trả,,363.913.731.123,617.968.605,,363913731123.0,617968605.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,,,
Công ty CP Bất động sản Thái An,Phải trả người bán > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,,617.968.605,617.968.605,,617968605.0,617968605.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,,,
Công ty TNHH MTV Tasco Quảng Bình,Các khoản phải trả khác > Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,,49.600.000.000,-,,49600000000.0,
Công ty TNHH MTV Tasco Hải Phòng,Các khoản phải trả khác > Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,,110.000.000.000,-,,110000000000.0,
Công ty TNHH MTV Tasco Nam Định,Các khoản phải trả khác > Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,,203.695.762.518,,,203695762518.0,
