row_label_raw,row_label_full,6. Các khoản đầu tư tài chính,6. Các khoản đầu tư tài chính_1,6. Các khoản đầu tư tài chính_2,6. Các khoản đầu tư tài chính_3,6. Các khoản đầu tư tài chính_4,6. Các khoản đầu tư tài chính_5,6. Các khoản đầu tư tài chính_6,6. Các khoản đầu tư tài chính_7,6. Các khoản đầu tư tài chính_8,numeric__6. Các khoản đầu tư tài chính_1,numeric__6. Các khoản đầu tư tài chính_2,numeric__6. Các khoản đầu tư tài chính_3,numeric__6. Các khoản đầu tư tài chính_4,numeric__6. Các khoản đầu tư tài chính_5,numeric__6. Các khoản đầu tư tài chính_6,numeric__6. Các khoản đầu tư tài chính_7,numeric__6. Các khoản đầu tư tài chính_8
(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,,,,,,,,
,,,Số lượng cổ phiếu,31/12/2018,31/12/2018,31/12/2018,Số lượng cổ phiếu,1/1/2018,1/1/2018,1/1/2018,,,,,,,,
,,,Số lượng cổ phiếu,Giá gốc VND,Giá trị hợp lý VND,Dự phòng giảm giá VND,Số lượng cổ phiếu,Giá gốc VND,Giá trị hợp lý VND,Dự phòng giảm giá VND,,,,,,,,
Cổ phiếu của Ngân hàng TMCP Quân đội,(a) Chứng khoán kinh doanh > Cổ phiếu của Ngân hàng TMCP Quân đội,Cổ phiếu của Ngân hàng TMCP Quân đội,380.922,2.977.135.749,7.408.932.900,-,290.343,2.977.135.749,7.220.830.410,-,380922.0,2977135749.0,7408932900.0,,290343.0,2977135749.0,7220830410.0,
Cổ phiếu của Công ty Cổ phần LICOGI 13,(a) Chứng khoán kinh doanh > Cổ phiếu của Công ty Cổ phần LICOGI 13,Cổ phiếu của Công ty Cổ phần LICOGI 13,75.750,444.927.000,295.425.000,(149.502.000),75.750,444.927.000,318.150.000,-,75750.0,444927000.0,295425000.0,-149502000.0,75750.0,444927000.0,318150000.0,
,,,,3.422.062.749,7.704.357.900,(149.502.000),,3.422.062.749,7.538.980.410,-,,3422062749.0,7704357900.0,-149502000.0,,3422062749.0,7538980410.0,
(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,
,,,,,,,31/12/2018,31/12/2018,1/1/2018,1/1/2018,,,,,,,,
,,,,,,,Giá gốc VND,Giá trị hợp lý VND,Giá gốc VND,Giá trị hợp lý VND,,,,,,,,
Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn▪ Tiền gửi có kỳ hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn▪ Tiền gửi có kỳ hạn,99.971.338.955,(*),14.700.000.000,(*),,,,,99971338955.0,,14700000000.0,
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn▪ Tiền gửi có kỳ hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn > Đầu tư nắm giữ đến ngày đáo hạn – dài hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn▪ Tiền gửi có kỳ hạn,36.310.421.500,(*),45.430.525.455,(*),,,,,36310421500.0,,45430525455.0,
