row_label_raw,row_label_full,col_0,1/1/2018Giá trị ghi số và số cókhả năng trả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,Biến động trong năm,31/12/2018Giá trị ghi số và số cókhả năng trả nợVND,numeric__1/1/2018Giá trị ghi số và số cókhả năng trả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__Biến động trong năm,numeric__31/12/2018Giá trị ghi số và số cókhả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,431.205.251.795,611.712.776.717,(378.679.336.672),664.238.691.840,,431205251795.0,611712776717.0,-378679336672.0,664238691840.0,
Vay dài hạn đến hạn trả (Thuyết minh 22(b)),Vay dài hạn đến hạn trả (Thuyết minh 22(b)),Vay dài hạn đến hạn trả (Thuyết minh 22(b)),3.816.000.000,22.169.232.368,(10.252.228.752),15.733.003.616,,3816000000.0,22169232368.0,-10252228752.0,15733003616.0,
,,,435.021.251.795,633.882.009.085,(388.931.565.424),679.971.695.456,,435021251795.0,633882009085.0,-388931565424.0,679971695456.0,
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,,
,,,Thuyếtminh,Loại tiền,Lãi suất năm,31/12/2018VND,1/1/2018VND,,,,,
Vay cá nhân,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay cá nhân,Vay cá nhân,(i),VND,"8,0% - 8,9%",52.390.846.667,50.881.371.589,,,,52390846667.0,50881371589.0
Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh,Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Đông Anh,(ii),VND,"7,5%",65.924.499.957,-,,,0.075,65924499957.0,
Vay từ công ty con – Công ty Cổ phần Đầu tư Khánh Hà,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay từ công ty con – Công ty Cổ phần Đầu tư Khánh Hà,Vay từ công ty con – Công ty Cổ phần Đầu tư Khánh Hà,(iii),VND,"6,8% - 5,1%",29.162.234.104,61.323.880.206,,,,29162234104.0,61323880206.0
Vay từ công ty con – Công ty Cổ phần Thủy điện Sông Tranh 4,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay từ công ty con – Công ty Cổ phần Thủy điện Sông Tranh 4,Vay từ công ty con – Công ty Cổ phần Thủy điện Sông Tranh 4,(iii),VND,"4,5%",44.761.111.112,80.000.000.000,,,0.045,44761111112.0,80000000000.0
Vay từ công ty con – Công ty Cổ phần Hà Đô – 756 Sài Gòn,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay từ công ty con – Công ty Cổ phần Hà Đô – 756 Sài Gòn,Vay từ công ty con – Công ty Cổ phần Hà Đô – 756 Sài Gòn,(iii),VND,"4,3% - 6,6%",415.000.000.000,175.000.000.000,,,,415000000000.0,175000000000.0
Vay từ công ty con – Công ty TNHH MTV Quản lý - Vận hành -Khai thác Bất động sản Hà Đô,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay từ công ty con – Công ty TNHH MTV Quản lý - Vận hành -Khai thác Bất động sản Hà Đô,Vay từ công ty con – Công ty TNHH MTV Quản lý - Vận hành -Khai thác Bất động sản Hà Đô,(iii),VND,,-,7.000.000.000,,,,,7000000000.0
"Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan","Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan","Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan",(iv),VND,"6,0%",57.000.000.000,57.000.000.000,,,0.06,57000000000.0,57000000000.0
,,,,,,664.238.691.840,431.205.251.795,,,,664238691840.0,431205251795.0
