row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2017,Kinh doanh bất động sản VND,Kinh doanh khách sạn VND,Hoạt động khác VND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tổng cộng VND,numeric__Kinh doanh bất động sản VND,numeric__Kinh doanh khách sạn VND,numeric__Hoạt động khác VND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tổng cộng VND
Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,512.164.066.357,80.499.001.756,127.363.767.710,720.026.835.823,512164066357.0,80499001756.0,127363767710.0,720026835823.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,154.293.886.812,33.674.752.077,67.808.214.966,255.776.853.855,154293886812.0,33674752077.0,67808214966.0,255776853855.0
Thu nhập không phân bổChi phí không phân bổ,Thu nhập không phân bổChi phí không phân bổ,Thu nhập không phân bổChi phí không phân bổ,,,,114.297.886.553(163.747.768.491),,,,
Kết quả từ các hoạt động kinh doanh,Thu nhập không phân bổChi phí không phân bổ > Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,206.326.971.917,,,,206326971917.0
Thu nhập khácChi phí khácChi phí thuế thu nhập doanh nghiệp hiện hành,Thu nhập khácChi phí khácChi phí thuế thu nhập doanh nghiệp hiện hành,Thu nhập khácChi phí khácChi phí thuế thu nhập doanh nghiệp hiện hành,,,,1.427.954.887(3.040.841.562)(25.533.463.400),,,,
Lợi nhuận thuần sau thuế,Thu nhập khácChi phí khácChi phí thuế thu nhập doanh nghiệp hiện hành > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,179.180.621.842,,,,179180621842.0
