row_label_raw,row_label_full,"Tại ngày 1 tháng 1 năm 2018 > Tài sản của bộ phậnKhoản đầu tư góp vốn vào công ty con, công ty liên kết và các đơn vị khác",Kinh doanh bất động sản VND > 1.044.188.093.822,Kinh doanh khách sạn VND > 342.859.175.029,Hoạt động khác VND > 345.121.688.647,Tổng cộng VND > 1.732.168.957.498 > 1.400.946.489.047,numeric__Kinh doanh bất động sản VND > 1.044.188.093.822,numeric__Kinh doanh khách sạn VND > 342.859.175.029,numeric__Hoạt động khác VND > 345.121.688.647,numeric__Tổng cộng VND > 1.732.168.957.498 > 1.400.946.489.047
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,3.133.115.446.545,,,,3133115446545.0
Nợ phải trả của bộ phậnNợ phải trả không phân bổ,Nợ phải trả của bộ phậnNợ phải trả không phân bổ,Nợ phải trả của bộ phậnNợ phải trả không phân bổ,847.826.283.943,305.602.973.683,25.484.544.610,1.178.913.802.236984.950.000.000,847826283943.0,305602973683.0,25484544610.0,1.1789138022369849e+24
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,2.163.863.802.236,,,,2163863802236.0
Năm kết thúc ngày 31 tháng 12 năm 2017,Năm kết thúc ngày 31 tháng 12 năm 2017,Năm kết thúc ngày 31 tháng 12 năm 2017,Kinh doanh bất động sản VND,Kinh doanh khách sạn VND,Hoạt động khác VND,Tổng cộng VND,,,,
Chi tiêu vốn,Năm kết thúc ngày 31 tháng 12 năm 2017 > Chi tiêu vốn,Chi tiêu vốn,152.545.454,64.533.372.414,10.720.550.177,75.406.468.045,152545454.0,64533372414.0,10720550177.0,75406468045.0
Khấu hao tài sản cố định hữu hình,Năm kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,539.945.339,-,-,539.945.339,539945339.0,,,539945339.0
Khấu hao tài sản cố định vô hình,Năm kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,212.176.656,-,-,212.176.656,212176656.0,,,212176656.0
Khấu hao bất động sản đầu tư,Năm kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,-,14.356.059.765,18.074.092.881,32.430.152.646,,14356059765.0,18074092881.0,32430152646.0
