row_label_raw,row_label_full,col_0,Quyền sử dụng đấtvà nhà cửaVND,numeric__Quyền sử dụng đấtvà nhà cửaVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,682.977.531.325,682977531325.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,264.566.328,264566328.0
Chuyên từ xây dựng cơ bản dở dang,Nguyên giá > Chuyên từ xây dựng cơ bản dở dang,Chuyên từ xây dựng cơ bản dở dang,19.950.342.401,19950342401.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,703.192.440.054,703192440054.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,74.451.743.469,74451743469.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,33.688.771.517,33688771517.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,108.140.514.986,108140514986.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,608.525.787.856,608525787856.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,595.051.925.068,595051925068.0
