row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,759.680.800.000,(33.000.000),(311.780.000),23.516.835.886,83.982.694.781,866.835.550.667,759680800000.0,-33000000.0,-311780000.0,23516835886.0,83982694781.0,866835550667.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,179.180.621.842,179.180.621.842,,,,,179180621842.0,179180621842.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(816.000.000),(816.000.000),,,,,-816000000.0,-816000000.0
Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),-,-,-,-,(75.948.528.200),(75.948.528.200),,,,,-75948528200.0,-75948528200.0
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,759.680.800.000,(33.000.000),(311.780.000),23.516.835.886,186.398.788.423,969.251.644.309,759680800000.0,-33000000.0,-311780000.0,23516835886.0,186398788423.0,969251644309.0
Tăng vốn trong kỳ,Tăng vốn trong kỳ,Tăng vốn trong kỳ,75.935.910.000,(138.550.000),-,-,-,75.797.360.000,75935910000.0,-138550000.0,,,,75797360000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,352.639.653.655,352.639.653.655,,,,,352639653655.0,352639653655.0
Phát hành cổ phiếu thưởng từ lợi nhuận chưa phân phối (Thuyết minh 25),Phát hành cổ phiếu thưởng từ lợi nhuận chưa phân phối (Thuyết minh 25),Phát hành cổ phiếu thưởng từ lợi nhuận chưa phân phối (Thuyết minh 25),113.903.650.000,-,-,-,(113.903.650.000),-,113903650000.0,,,,-113903650000.0,
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(14.490.000),-,-,(14.490.000),,,-14490000.0,,,-14490000.0
Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),-,-,-,-,(132.874.308.325),(132.874.308.325),,,,,-132874308325.0,-132874308325.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(5.375.000.000),(5.375.000.000),,,,,-5375000000.0,-5375000000.0
Khác,Khác,Khác,-,-,-,-,47.751.450,47.751.450,,,,,47751450.0,47751450.0
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,949.520.360.000,(171.550.000),(326.270.000),23.516.835.886,286.933.235.203,1.259.472.611.089,949520360000.0,-171550000.0,-326270000.0,23516835886.0,286933235203.0,1259472611089.0
