row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Kinh doanh bất động sản VND,Kinh doanh khách sạn VND,Hoạt động khác VND,Tổng cộng VND,numeric__Kinh doanh bất động sản VND,numeric__Kinh doanh khách sạn VND,numeric__Hoạt động khác VND,numeric__Tổng cộng VND
"Tài sản của bộ phậnKhoản đầu tư góp vốn vào công ty con, công ty liên kết","Tài sản của bộ phậnKhoản đầu tư góp vốn vào công ty con, công ty liên kết","Tài sản của bộ phậnKhoản đầu tư góp vốn vào công ty con, công ty liên kết",1.359.357.756.677,335.778.117.222,328.362.784.894,2.023.498.658.793,1359357756677.0,335778117222.0,328362784894.0,2023498658793.0
"Tài sản của bộ phậnKhoản đầu tư góp vốn vào công ty con, công ty liên kết","Tài sản của bộ phậnKhoản đầu tư góp vốn vào công ty con, công ty liên kết","Tài sản của bộ phậnKhoản đầu tư góp vốn vào công ty con, công ty liên kết",,,,1.975.688.918.422,,,,1975688918422.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,3.999.187.577.215,,,,3999187577215.0
Nợ phải trả của bộ phậnNợ phải trả không phân bổ,Nợ phải trả của bộ phậnNợ phải trả không phân bổ,Nợ phải trả của bộ phậnNợ phải trả không phân bổ,1.423.421.183.112,316.102.912.482,30.190.870.532,1.769.714.966.126970.000.000.000,1423421183112.0,316102912482.0,30190870532.0,1.76971496612697e+24
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,2.739.714.966.126,,,,2739714966126.0
Năm kết thúc ngày 31 tháng 12 năm 2018,Năm kết thúc ngày 31 tháng 12 năm 2018,Năm kết thúc ngày 31 tháng 12 năm 2018,Kinh doanh bất động sản VND,Kinh doanh khách sạn VND,Hoạt động khác VND,Tổng cộng VND,,,,
Chỉ tiêu vốn,Năm kết thúc ngày 31 tháng 12 năm 2018 > Chỉ tiêu vốn,Chỉ tiêu vốn,4.058.055.874,-,7.735.848.613,11.793.904.487,4058055874.0,,7735848613.0,11793904487.0
Khấu hao tài sản cố định hữu hình,Năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,696.294.999,-,-,696.294.999,696294999.0,,,696294999.0
Khấu hao tài sản cố định vô hình,Năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,212.146.655,-,-,212.146.655,212146655.0,,,212146655.0
Khấu hao bất động sản đầu tư,Năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,-,14.356.059.765,19.332.711.752,33.688.771.517,,14356059765.0,19332711752.0,33688771517.0
