row_label_raw,row_label_full,col_0,Địa chỉ,Số lượng cổ phiếu,% sở hữu,% quyền biểu quyết,Giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Số lượng cổ phiếu,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__Giá gốc VND,numeric__Dự phòng VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,
▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,,,,,,,
- Công ty Cổ phần Hà Đô 1,▪ Công ty con > - Công ty Cổ phần Hà Đô 1,- Công ty Cổ phần Hà Đô 1,Hà Nội,1.791.135,51%,51%,15.680.240.000,-,(*),,1791135.0,0.51,0.51,15680240000.0,,
- Công ty Cổ phần Hà Đô 23 (vii),▪ Công ty con > - Công ty Cổ phần Hà Đô 23 (vii),- Công ty Cổ phần Hà Đô 23 (vii),Hà Nội,2.221.510,60%,60%,22.214.900.000,-,(*),,2221510.0,0.6,0.6,22214900000.0,,
- Công ty Cổ phần Hà Đô 4 (ii),▪ Công ty con > - Công ty Cổ phần Hà Đô 4 (ii),- Công ty Cổ phần Hà Đô 4 (ii),TP. Hồ Chí Minh,1.679.684,51%,51%,14.605.950.000,(14.605.950.000),(*),,1679684.0,0.51,0.51,14605950000.0,-14605950000.0,
- Công ty Cổ phần Hà Đô 45,▪ Công ty con > - Công ty Cổ phần Hà Đô 45,- Công ty Cổ phần Hà Đô 45,TP. Hồ Chí Minh,512.500,51%,51%,5.125.000.000,-,(*),,512500.0,0.51,0.51,5125000000.0,,
- Công ty Cổ phần Đầu tư Khánh Hà,▪ Công ty con > - Công ty Cổ phần Đầu tư Khánh Hà,- Công ty Cổ phần Đầu tư Khánh Hà,Nha Trang,17.024.089,65%,65%,170.240.885.000,-,(*),,17024089.0,0.65,0.65,170240885000.0,,
- Công ty Cổ phần Hà Đô - 756 Sài Gòn,▪ Công ty con > - Công ty Cổ phần Hà Đô - 756 Sài Gòn,- Công ty Cổ phần Hà Đô - 756 Sài Gòn,TP. Hồ Chí Minh,28.350.000,63%,63%,283.500.000.000,-,(*),,28350000.0,0.63,0.63,283500000000.0,,
- Công ty Cổ phần Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô,▪ Công ty con > - Công ty Cổ phần Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô,- Công ty Cổ phần Cơ điện Xây dựng Thiết bị Công nghiệp Hà Đô,Hà Nội,510.510,51%,51%,3.570.000.000,-,(*),,510510.0,0.51,0.51,3570000000.0,,
- Công ty Cổ phần Tư vấn Hà Đô (viii),▪ Công ty con > - Công ty Cổ phần Tư vấn Hà Đô (viii),- Công ty Cổ phần Tư vấn Hà Đô (viii),Hà Nội,102.000,51%,51%,1.020.000.000,-,(*),,102000.0,0.51,0.51,1020000000.0,,
- Công ty Cổ phần Za Hưng,▪ Công ty con > - Công ty Cổ phần Za Hưng,- Công ty Cổ phần Za Hưng,Hà Nội,2.834.585,"51,75%","51,75%",305.597.340.000,-,(*),,2834585.0,0.5175,0.5175,305597340000.0,,
- Công ty Cổ phần Thủy điện Sông Tranh 4,▪ Công ty con > - Công ty Cổ phần Thủy điện Sông Tranh 4,- Công ty Cổ phần Thủy điện Sông Tranh 4,Quảng Nam,9.180.000,34%,85%,96.794.654.400,-,(*),,9180000.0,0.34,0.85,96794654400.0,,
- Công ty Cổ phần Hà Đô Bình Thuận,▪ Công ty con > - Công ty Cổ phần Hà Đô Bình Thuận,- Công ty Cổ phần Hà Đô Bình Thuận,Bình Thuận,750.000,75%,89%,7.500.000.000,-,(*),,750000.0,0.75,0.89,7500000000.0,,
- Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,▪ Công ty con > - Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,- Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,"Viên Chăn, Lào",,100%,100%,181.634.006.722,-,(*),,,1.0,1.0,181634006722.0,,
- Công ty TNHH MTV Quản lý và Kinh doanh Bất động sản Hà Đô,▪ Công ty con > - Công ty TNHH MTV Quản lý và Kinh doanh Bất động sản Hà Đô,- Công ty TNHH MTV Quản lý và Kinh doanh Bất động sản Hà Đô,Hà Nội,,100%,100%,626.255.918,-,(*),,,1.0,1.0,626255918.0,,
- Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động Sản Hà Đô (iv),▪ Công ty con > - Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động Sản Hà Đô (iv),- Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động Sản Hà Đô (iv),TP. Hồ Chí Minh,,100%,100%,420.855.990,-,(*),,,1.0,1.0,420855990.0,,
,,,,,,,1.108.530.088.030,(14.605.950.000),,,,,,1108530088030.0,-14605950000.0,
