row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2018VND,1/1/2018VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty Cổ phần Hà Đô 45,Các công ty con > Công ty Cổ phần Hà Đô 45,Công ty Cổ phần Hà Đô 45,12.669.420.559,-,12669420559.0,
Công ty Cổ phần Hà Đô 1,Các công ty con > Công ty Cổ phần Hà Đô 1,Công ty Cổ phần Hà Đô 1,6.335.414.981,11.256.077.883,6335414981.0,11256077883.0
Công ty Cổ phần Cơ điện Xây dựng Thiết bị,Công ty Cổ phần Cơ điện Xây dựng Thiết bị,Công ty Cổ phần Cơ điện Xây dựng Thiết bị,Công ty Cổ phần Cơ điện Xây dựng Thiết bị,Công ty Cổ phần Cơ điện Xây dựng Thiết bị,,
Công nghiệp Hà Đô,Công ty Cổ phần Cơ điện Xây dựng Thiết bị > Công nghiệp Hà Đô,Công nghiệp Hà Đô,4.262.028.158,7.079.086.647,4262028158.0,7079086647.0
Công ty TNHH MTV Quản lý - Vận hành - Khai thác,Công ty TNHH MTV Quản lý - Vận hành - Khai thác,Công ty TNHH MTV Quản lý - Vận hành - Khai thác,Công ty TNHH MTV Quản lý - Vận hành - Khai thác,Công ty TNHH MTV Quản lý - Vận hành - Khai thác,,
Bất động sản Hà Đô,Công ty TNHH MTV Quản lý - Vận hành - Khai thác > Bất động sản Hà Đô,Bất động sản Hà Đô,2.275.783.456,2.065.175.369,2275783456.0,2065175369.0
Công ty TNHH MTV Quản lý và Kinh doanh,Công ty TNHH MTV Quản lý và Kinh doanh,Công ty TNHH MTV Quản lý và Kinh doanh,Công ty TNHH MTV Quản lý và Kinh doanh,Công ty TNHH MTV Quản lý và Kinh doanh,,
Bất động sản Hà Đô,Công ty TNHH MTV Quản lý và Kinh doanh > Bất động sản Hà Đô,Bất động sản Hà Đô,-,60.002,,60002.0
Công ty Cổ phần Hà Đô 23(là công ty con cho đến ngày 9 tháng 11 năm 2019),Công ty TNHH MTV Quản lý và Kinh doanh > Công ty Cổ phần Hà Đô 23(là công ty con cho đến ngày 9 tháng 11 năm 2019),Công ty Cổ phần Hà Đô 23(là công ty con cho đến ngày 9 tháng 11 năm 2019),2.749.426.869,5.697.784.737,2749426869.0,5697784737.0
Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,,
Công ty Cổ phần Đầu tư An Lạc,Các công ty liên quan khác > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,2.019.725.459,2.019.725.459,2019725459.0,2019725459.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
Ông Huỳnh Kỳ Trân,Các bên khác > Ông Huỳnh Kỳ Trân,Ông Huỳnh Kỳ Trân,26.924.500.000,-,26924500000.0,
Các khách hàng khác,Các bên khác > Các khách hàng khác,Các khách hàng khác,15.812.054.255,16.715.318.502,15812054255.0,16715318502.0
,,,73.048.353.737,44.833.228.599,73048353737.0,44833228599.0
