row_label_raw,row_label_full,col_0,31/12/2023triệu đồng,31/12/2022triệu đồng,numeric__31/12/2023triệu đồng,numeric__31/12/2022triệu đồng
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",13.545,167.295,13545.0,167295.0
Khai khoáng,Khai khoáng,Khai khoáng,235.438,-,235438.0,
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",429.752,354.157,429752.0,354157.0
"Sản xuất và phân phối điện, khí đốt, nước nóng,hoi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng,hoi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng,hoi nước và điều hòa không khí",6.293.177,6.093.198,6293177.0,6093198.0
Xây dựng,Xây dựng,Xây dựng,5.527.488,5.358.778,5527488.0,5358778.0
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máyvà xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máyvà xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máyvà xe có động cơ khác",6.806.984,3.303.645,6806984.0,3303645.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,1.994.630,1.707.130,1994630.0,1707130.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",2.908.269,192.774,2908269.0,192774.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,2.610.245,2.985.202,2610245.0,2985202.0
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",2.511.475,431.125,2511475.0,431125.0
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,139.150,150.000,139150.0,150000.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,1.990.381,977.316,1990381.0,977316.0
"Hoạt động làm thuê các công việc trong các hộ giađỉnh, sản xuất sản phẩm vật chất và dịch vụ tự tièudùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ giađỉnh, sản xuất sản phẩm vật chất và dịch vụ tự tièudùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ giađỉnh, sản xuất sản phẩm vật chất và dịch vụ tự tièudùng của hộ gia đình",1.868.127,2.469.251,1868127.0,2469251.0
Ngành khác,Ngành khác,Ngành khác,224.727,162.677,224727.0,162677.0
,,,33.553.388,24.352.548,33553388.0,24352548.0
