row_label_raw,row_label_full,col_0,Dự phòng giảm giá triệu đồng,Dự phòng chung triệu đồng,Dự phòng cụ thể triệu đồng,Tổng cộng triệu đồng,numeric__Dự phòng giảm giá triệu đồng,numeric__Dự phòng chung triệu đồng,numeric__Dự phòng cụ thể triệu đồng,numeric__Tổng cộng triệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,20.934,14.880,-,35.814,20934.0,14880.0,,35814.0
Số dự phòng trích lập/(hoàn nhập) trong năm,Số dự phòng trích lập/(hoàn nhập) trong năm,Số dự phòng trích lập/(hoàn nhập) trong năm,31.417,(12.847),2.226,20.796,31417.0,-12847.0,2226.0,20796.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,52.351,2.033,2.226,56.610,52351.0,2033.0,2226.0,56610.0
