row_label_raw,row_label_full,col_0,2023 triệu đồng,2022 triệu đồng,numeric__2023 triệu đồng,numeric__2022 triệu đồng
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",626,663,626.0,663.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,140.529,182.930,140529.0,182930.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,122.409,161.924,122409.0,161924.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,12.071,13.186,12071.0,13186.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,148,258,148.0,258.0
Chi khác cho nhân viên,Chi khác cho nhân viên,Chi khác cho nhân viên,5.901,7.562,5901.0,7562.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,46.849,48.840,46849.0,48840.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,16.275,15.098,16275.0,15098.0
Chi khác về tài sản,Chi khác về tài sản,Chi khác về tài sản,30.574,33.742,30574.0,33742.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,53.752,88.606,53752.0,88606.0
Công tác phí,Công tác phí,Công tác phí,4.525,6.942,4525.0,6942.0
Chi về các hoạt động đoàn thể của TCTD,Chi về các hoạt động đoàn thể của TCTD,Chi về các hoạt động đoàn thể của TCTD,1.134,3.829,1134.0,3829.0
Chi phí kiểm toán,Chi phí kiểm toán,Chi phí kiểm toán,643,603,643.0,603.0
Chi phí khác,Chi phí khác,Chi phí khác,47.450,77.232,47450.0,77232.0
Trích lập dự phòng rủi ro,Trích lập dự phòng rủi ro,Trích lập dự phòng rủi ro,55.248,6.199,55248.0,6199.0
Trích lập dự phòng rủi ro đầu tư dài hạn (Thuyết minh số 12),Trích lập dự phòng rủi ro đầu tư dài hạn (Thuyết minh số 12),Trích lập dự phòng rủi ro đầu tư dài hạn (Thuyết minh số 12),4.812,2.894,4812.0,2894.0
Trích lập dự phòng rủi ro Tài sản Có khác (Thuyết minh số 14.4),Trích lập dự phòng rủi ro Tài sản Có khác (Thuyết minh số 14.4),Trích lập dự phòng rủi ro Tài sản Có khác (Thuyết minh số 14.4),50.436,3.305,50436.0,3305.0
,,,297.004,327.238,297004.0,327238.0
