row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thăng dư vốn cổ phần triệu đồng,Quỹ đầu tư phát triển triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Lợi nhuận sau thuế chưa phân phối triệu đồng,"Vốn đầu tư XDCB, mua sắm TSCĐ triệu đồng",Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thăng dư vốn cổ phần triệu đồng,numeric__Quỹ đầu tư phát triển triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Lợi nhuận sau thuế chưa phân phối triệu đồng,"numeric__Vốn đầu tư XDCB, mua sắm TSCĐ triệu đồng",numeric__Tổng cộng triệu đồng
Số dư tại ngày 01 tháng 01 năm 2022,Số dư tại ngày 01 tháng 01 năm 2022,Số dư tại ngày 01 tháng 01 năm 2022,3.047.076,-,30.770,249.652,124.827,529.516,2.328,3.984.169,3047076.0,,30770.0,249652.0,124827.0,529516.0,2328.0,3984169.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,365.787,-,365.787,,,,,,365787.0,,365787.0
Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm,Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm,Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm,463.564,-,-,-,-,(463.564),-,-,463564.0,,,,,-463564.0,,
Trích bổ sung các quỹ từ lợi nhuận năm trước,Trích bổ sung các quỹ từ lợi nhuận năm trước,Trích bổ sung các quỹ từ lợi nhuận năm trước,-,-,-,33.057,16.528,(64.461),-,(14.876),,,,33057.0,16528.0,-64461.0,,-14876.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,3.510.640,-,30.770,282.709,141.355,367.278,2.328,4.335.080,3510640.0,,30770.0,282709.0,141355.0,367278.0,2328.0,4335080.0
Tăng vốn từ phát hành quyền mua cổ phiếu cho nhà đầu tư,Tăng vốn từ phát hành quyền mua cổ phiếu cho nhà đầu tư,Tăng vốn từ phát hành quyền mua cổ phiếu cho nhà đầu tư,3.510.640,350.712,-,-,-,-,-,3.861.352,3510640.0,350712.0,,,,,,3861352.0
Tăng vốn từ phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Tăng vốn từ phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Tăng vốn từ phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,21.203,(150),-,-,-,-,-,21.053,21203.0,-150.0,,,,,,21053.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,328.379,-,328.379,,,,,,328379.0,,328379.0
Trích bổ sung các quỹ từ lợi nhuận năm trước,Trích bổ sung các quỹ từ lợi nhuận năm trước,Trích bổ sung các quỹ từ lợi nhuận năm trước,-,-,-,36.579,18.289,(65.695),-,(10.827),,,,36579.0,18289.0,-65695.0,,-10827.0
Sử dụng Quỹ Đầu tư phát triển,Sử dụng Quỹ Đầu tư phát triển,Sử dụng Quỹ Đầu tư phát triển,-,-,(779),-,-,-,-,(779),,,-779.0,,,,,-779.0
Sử dụng Quỹ Dự phòng tài chính,Sử dụng Quỹ Dự phòng tài chính,Sử dụng Quỹ Dự phòng tài chính,-,-,-,(78.040),-,-,-,(78.040),,,,-78040.0,,,,-78040.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,7.042.483,350.562,29.991,241.248,159.644,629.962,2.328,8.456.218,7042483.0,350562.0,29991.0,241248.0,159644.0,629962.0,2328.0,8456218.0
