row_label_raw,row_label_full,col_0,Quyền sử dụng đất vô thời hạn triệu đồng,Phần mềm máy vi tính triệu đồng,Tài sản cố định vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất vô thời hạn triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__Tài sản cố định vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.244,71.045,3.132,92.421,18244.0,71045.0,3132.0,92421.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,660,3.296,3.956,,660.0,3296.0,3956.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.244,71.705,6.428,96.377,18244.0,71705.0,6428.0,96377.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,40.305,660,40.965,,40305.0,660.0,40965.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,7.070,948,8.018,,7070.0,948.0,8018.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,47.375,1.608,48.983,,47375.0,1608.0,48983.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,18.244,30.740,2.472,51.456,18244.0,30740.0,2472.0,51456.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.244,24.330,4.820,47.394,18244.0,24330.0,4820.0,47394.0
