row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,2023 triệu đồng,2022 triệu đồng,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__2023 triệu đồng,numeric__2022 triệu đồng
Công ty Cổ phầnQuản lý Quỹ Amber,Công ty Cổ phầnQuản lý Quỹ Amber,Công ty Cổ phầnQuản lý Quỹ Amber,Thành viên HĐQT của EVF (Ông Lê Mạnh Linh) là Chủ tịch HĐQT của Công ty Cổ phần Quản lý Quỹ Amber,Chi phí lãi tiền gửi và phát hành giấy tờ có giá,39.811,1.557,,,39811.0,1557.0
CTCP Amya Holding,CTCP Amya Holding,CTCP Amya Holding,Thành viên HĐQT của EVF (Ông Nguyễn Trung Thành) là Thành viên HĐQT của Công ty CP Amya Holding,Thu nhập lãi,,,,,,
