row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng triệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng triệu đồng
,,,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,-,1.546,-,-,-,-,1.546,,,1546.0,,,,,1546.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,1.304.924,-,-,-,-,1.304.924,,,1304924.0,,,,,1304924.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,9.252.788,702.850,770,-,-,9.956.408,,,9252788.0,702850.0,770.0,,,9956408.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),336.081,67.749,737.842,1.950.272,15.105.449,12.500.921,2.855.074,33.553.388,336081.0,67749.0,737842.0,1950272.0,15105449.0,12500921.0,2855074.0,33553388.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,,1.934,(12.808),127.714,-,-,116.840,,,1934.0,-12808.0,127714.0,,,116840.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,16.000,786.252,-,200.000,-,662.489,1.664.741,,16000.0,786252.0,,200000.0,,662489.0,1664741.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,1.006.177,1.006.177,,,,,,,1006177.0,1006177.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,75.862,75.862,,,,,,,75862.0,75862.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),317.981,5.578,1.473.570,308.655,200.000,-,-,2.305.784,317981.0,5578.0,1473570.0,308655.0,200000.0,,,2305784.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,654.062,89.327,13.558.856,2.948.969,15.633.933,12.500.921,4.599.602,49.985.670,654062.0,89327.0,13558856.0,2948969.0,15633933.0,12500921.0,4599602.0,49985670.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,4.800.000,1.850.240,4.261.520,-,-,10.911.760,,,4800000.0,1850240.0,4261520.0,,,10911760.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,196.464,499.532,1.425.971,853.970,25.600,3.001.537,,,196464.0,499532.0,1425971.0,853970.0,25600.0,3001537.0
"Nguồn vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Nguồn vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nguồn vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,129.031,589.592,5.308.132,1.989.645,8.016.400,,,,129031.0,589592.0,5308132.0,1989645.0,8016400.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,938.000,2.958.000,11.519.000,281.000,1.725.000,17.421.000,,,938000.0,2958000.0,11519000.0,281000.0,1725000.0,17421000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,975.164,439.052,-,-,-,1.414.216,,,975164.0,439052.0,,,,1414216.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,6.909.628,5.875.855,17.796.083,6.443.102,3.740.245,40.764.913,,,6909628.0,5875855.0,17796083.0,6443102.0,3740245.0,40764913.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,654.062,89.327,6.649.228,(2.926.886),(2.162.150),6.057.819,859.357,9.220.757,654062.0,89327.0,6649228.0,-2926886.0,-2162150.0,6057819.0,859357.0,9220757.0
