row_label_raw,row_label_full,Họ và tên,Chức danh,Giai đoạn,numeric__Chức danh,numeric__Giai đoạn
Ông Mai Danh Hiền,Ông Mai Danh Hiền,Ông Mai Danh Hiền,Tổng Giám đốc,Từ ngày 06 tháng 07 năm 2023 đến ngày lập báo cáo này,,
Ông Phạm Trung Kiên,Ông Phạm Trung Kiên,Ông Phạm Trung Kiên,Chủ tịch Hội đồng Quản trị,Từ ngày 18 tháng 05 năm 2023 đến hết ngày 05 tháng 07 năm 2023,,
Ông Nguyễn Hoàng Hải,Ông Nguyễn Hoàng Hải,Ông Nguyễn Hoàng Hải,Tổng Giám đốc (Miễn nhiệm ngày 18 tháng 05 năm 2023),Từ ngày 01 tháng 01 năm 2023 đến hết ngày 17 tháng 05 năm 2023,,
