row_label_raw,row_label_full,Thu nhập của Hội Đồng Quản Trị,3.281,2.988,numeric__3.281,numeric__2.988
Ông Hoàng Văn Ninh (*),Ông Hoàng Văn Ninh (*),Ông Hoàng Văn Ninh (*),229,1.080,229.0,1080.0
Bà Cao Thị Thu Hà (*),Bà Cao Thị Thu Hà (*),Bà Cao Thị Thu Hà (*),138,648,138.0,648.0
Bà Nguyễn Thúy Trang (*),Bà Nguyễn Thúy Trang (*),Bà Nguyễn Thúy Trang (*),89,420,89.0,420.0
Ông Phạm Trung Kiên (*),Ông Phạm Trung Kiên (*),Ông Phạm Trung Kiên (*),1.223,420,1223.0,420.0
Ông Lê Mạnh Linh,Ông Lê Mạnh Linh,Ông Lê Mạnh Linh,468,420,468.0,420.0
Ông Nguyễn Trung Thành (*),Ông Nguyễn Trung Thành (*),Ông Nguyễn Trung Thành (*),378,-,378.0,
Ông Lê Hoài Nam (*),Ông Lê Hoài Nam (*),Ông Lê Hoài Nam (*),378,-,378.0,
Ông Nguyễn Văn Hải (*),Ông Nguyễn Văn Hải (*),Ông Nguyễn Văn Hải (*),378,-,378.0,
Thu nhập của Tổng giám đốc và Người quản lý khác,Thu nhập của Tổng giám đốc và Người quản lý khác,Thu nhập của Tổng giám đốc và Người quản lý khác,11.792,11.171,11792.0,11171.0
Ông Nguyễn Hoàng Hải (*),Ông Nguyễn Hoàng Hải (*),Ông Nguyễn Hoàng Hải (*),970,2.346,970.0,2346.0
Ông Mai Danh Hiền (*),Ông Mai Danh Hiền (*),Ông Mai Danh Hiền (*),1.925,1.353,1925.0,1353.0
Ông Lê Anh Tuấn,Ông Lê Anh Tuấn,Ông Lê Anh Tuấn,1.423,1.481,1423.0,1481.0
Ông Hoàng Thế Hưng,Ông Hoàng Thế Hưng,Ông Hoàng Thế Hưng,1.598,2.016,1598.0,2016.0
Ông Đào Lê Huy,Ông Đào Lê Huy,Ông Đào Lê Huy,1.463,1.535,1463.0,1535.0
Ông Lâm Nguyễn Thiện Nhơn (*),Ông Lâm Nguyễn Thiện Nhơn (*),Ông Lâm Nguyễn Thiện Nhơn (*),1.236,931,1236.0,931.0
Bà Tôn Thị Hải Yến (*),Bà Tôn Thị Hải Yến (*),Bà Tôn Thị Hải Yến (*),1.133,-,1133.0,
Ông Mai Xuân Đông,Ông Mai Xuân Đông,Ông Mai Xuân Đông,709,713,709.0,713.0
Ông Hoàng Nhật Nam (*),Ông Hoàng Nhật Nam (*),Ông Hoàng Nhật Nam (*),356,-,356.0,
Ông Tổng Nhật Linh,Ông Tổng Nhật Linh,Ông Tổng Nhật Linh,979,796,979.0,796.0
Thu nhập của Ban Kiểm soát,Thu nhập của Ban Kiểm soát,Thu nhập của Ban Kiểm soát,1.942,1.800,1942.0,1800.0
Ông Nguyễn Quốc Tuấn (*),Ông Nguyễn Quốc Tuấn (*),Ông Nguyễn Quốc Tuấn (*),166,780,166.0,780.0
Bà Đỗ Thị Hà (*),Bà Đỗ Thị Hà (*),Bà Đỗ Thị Hà (*),115,540,115.0,540.0
Ông Nguyễn Xuân Điệp (*),Ông Nguyễn Xuân Điệp (*),Ông Nguyễn Xuân Điệp (*),51,240,51.0,240.0
Ông Lê Long Giang (*),Ông Lê Long Giang (*),Ông Lê Long Giang (*),806,240,806.0,240.0
Bà Lê Khánh Ngọc (*),Bà Lê Khánh Ngọc (*),Bà Lê Khánh Ngọc (*),520,-,520.0,
Ông Nghiêm Khắc Đạt (*),Ông Nghiêm Khắc Đạt (*),Ông Nghiêm Khắc Đạt (*),284,-,284.0,
