row_label_raw,row_label_full,col_0,Tỷ lệ trích %,Số tiền triệu đồng,numeric__Tỷ lệ trích %,numeric__Số tiền triệu đồng
Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,5%,18.289,0.05,18289.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,10%,36.579,0.1,36579.0
Quỹ khen thưởng,Quỹ khen thưởng,Quỹ khen thưởng,1%,3.658,0.01,3658.0
Quỹ phúc lợi,Quỹ phúc lợi,Quỹ phúc lợi,1%,3.658,0.01,3658.0
"Khen thưởng Hội đồng quản trị, Ban kiểm soát, Ban điều hành","Khen thưởng Hội đồng quản trị, Ban kiểm soát, Ban điều hành","Khen thưởng Hội đồng quản trị, Ban kiểm soát, Ban điều hành","0,96%",3.511,0.0096,3511.0
,,,,65.695,,65695.0
