row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc triệu đồng","Máy móc, thiết bị triệu đồng",Phương tiện vận tải triệu đồng,"Thiết bị, dụng cụ quản lý triệu đồng",Tài sản cố định hữu hình khác triệu đồng,Tổng cộng triệu đồng,"numeric__Nhà cửa, vật kiến trúc triệu đồng","numeric__Máy móc, thiết bị triệu đồng",numeric__Phương tiện vận tải triệu đồng,"numeric__Thiết bị, dụng cụ quản lý triệu đồng",numeric__Tài sản cố định hữu hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.280,50.264,21.611,24.407,1.815,106.377,8280.0,50264.0,21611.0,24407.0,1815.0,106377.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,559,5.753,-,35,6.347,,559.0,5753.0,,35.0,6347.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.261),(81),-,(4.342),,,-4261.0,-81.0,,-4342.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.280,50.823,23.103,24.326,1.850,108.382,8280.0,50823.0,23103.0,24326.0,1850.0,108382.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.124,31.485,21.558,19.475,1.309,75.951,2124.0,31485.0,21558.0,19475.0,1309.0,75951.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,331,5.264,555,2.050,57,8.257,331.0,5264.0,555.0,2050.0,57.0,8257.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(4.261),(33),-,(4.294),,,-4261.0,-33.0,,-4294.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.455,36.749,17.852,21.492,1.366,79.914,2455.0,36749.0,17852.0,21492.0,1366.0,79914.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.156,18.779,53,4.932,506,30.426,6156.0,18779.0,53.0,4932.0,506.0,30426.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,5.825,14.074,5.251,2.834,484,28.468,5825.0,14074.0,5251.0,2834.0,484.0,28468.0
