row_label_raw,row_label_full,col_0,Tổng khoản thanh toán tiền thuê tài chínhTriệu VND,Tiền lãi thuêTriệu VND,Nợ gốcTriệu VND,numeric__Tổng khoản thanh toán tiền thuê tài chínhTriệu VND,numeric__Tiền lãi thuêTriệu VND,numeric__Nợ gốcTriệu VND
Trong vòng 1 năm,Trong vòng 1 năm,Trong vòng 1 năm,20.911,1.496,19.415,20911.0,1496.0,19415.0
Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,85.587,25.684,59.903,85587.0,25684.0,59903.0
Sau 5 năm,Sau 5 năm,Sau 5 năm,528.797,418.022,110.775,528797.0,418022.0,110775.0
,,,635.295,445.202,190.093,635295.0,445202.0,190093.0
1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,1/1/2019,,,
,,,Tổng khoản thanh toán tiền thuê tài chínhTriệu VND,Tiền lãi thuêTriệu VND,Nợ gốcTriệu VND,,,
Trong vòng 1 năm,1/1/2019 > Trong vòng 1 năm,Trong vòng 1 năm,19.452,1.373,18.079,19452.0,1373.0,18079.0
Trong vòng 2 đến 5 năm,1/1/2019 > Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,85.101,25.617,59.484,85101.0,25617.0,59484.0
Sau 5 năm,1/1/2019 > Sau 5 năm,Sau 5 năm,550.592,439.843,110.749,550592.0,439843.0,110749.0
,,,655.145,466.833,188.312,655145.0,466833.0,188312.0
