row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2019Triệu VND,2018Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2019Triệu VND,numeric__2018Triệu VND
LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,01,,3.575.942,3.052.785,1.0,,3575942.0,3052785.0
Khấu hao và phân bổ,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,1.447.324,1.156.999,2.0,,1447324.0,1156999.0
Các khoản dự phòng,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,7.322,2.576,3.0,,7322.0,2576.0
Lãi từ các hoạt động đầu tư,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ các hoạt động đầu tư,Lãi từ các hoạt động đầu tư,05,,(244.005),(517.861),5.0,,-244005.0,-517861.0
Chi phí lãi vay và chi phí phát hành trái phiếu,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí phát hành trái phiếu,Chi phí lãi vay và chi phí phát hành trái phiếu,06,,299.007,375.271,6.0,,299007.0,375271.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,5.085.590,4.069.770,8.0,,5085590.0,4069770.0
Biến động các khoản phải thu và tài sản khác,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,,132.354,257.413,9.0,,132354.0,257413.0
Biến động hàng tồn kho,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(62.234),1.087.895,10.0,,-62234.0,1087895.0
Biến động các khoản phải trả và nợ phải trả khác,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,(1.194.687),(1.039.269),11.0,,-1194687.0,-1039269.0
Biến động chi phí trả trước,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,106.573,(12.285),12.0,,106573.0,-12285.0
,,,,,4.067.596,4.363.522,,,4067596.0,4363522.0
Tiền lãi vay đã trả,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(258.031),(360.745),14.0,,-258031.0,-360745.0
Thuế thu nhập doanh nghiệp đã nộp,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(662.851),(561.242),15.0,,-662851.0,-561242.0
Tiền thu khác từ hoạt động kinh doanh,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,-,132.200,16.0,,,132200.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LUÙ CHUYÉN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,3.146.714,3.573.735,20.0,,3146714.0,3573735.0
