row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Kinh doanh chuyển nhượng bất động sản Triệu VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND,Khác Triệu VND,Tổng Triệu VND,Loại trừ Triệu VND,Hợp nhất Triệu VND,numeric__Kinh doanh chuyển nhượng bất động sản Triệu VND,numeric__Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND,numeric__Khác Triệu VND,numeric__Tổng Triệu VND,numeric__Loại trừ Triệu VND,numeric__Hợp nhất Triệu VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,3.432.575,5.505.977,185.400,9.123.952,-,9.123.952,3432575.0,5505977.0,185400.0,9123952.0,,9123952.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,-,56.868,286.470,343.338,(343.338),-,,56868.0,286470.0,343338.0,-343338.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,3.432.575,5.562.845,471.870,9.467.290,(343.338),9.123.952,3432575.0,5562845.0,471870.0,9467290.0,-343338.0,9123952.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,537.389,2.435.398,(124.766),2.848.021,42.486,2.890.507,537389.0,2435398.0,-124766.0,2848021.0,42486.0,2890507.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,519.224,,,,,,519224.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,417.400,,,,,,417400.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,2.992.331,,,,,,2992331.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,78.051,,,,,,78051.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,17.597,,,,,,17597.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,639.558,,,,,,639558.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,2.413.227,,,,,,2413227.0
