row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócvà thiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,Thiết bịvăn phòngTriệu VND,Tài sánkhácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócvà thiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sánkhácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,115.572,182.407,3.980,11.229,52.233,365.421,115572.0,182407.0,3980.0,11229.0,52233.0,365421.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,9.924,-,2.461,-,12.385,,9924.0,,2461.0,,12385.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,5.739,1.076,-,269,332,7.416,5739.0,1076.0,,269.0,332.0,7416.0
Chuyển từ/(sang) bắt động sản đầu tư,Nguyên giá > Chuyển từ/(sang) bắt động sản đầu tư,Chuyển từ/(sang) bắt động sản đầu tư,168.149,67.215,-,4.636,(27.022),212.978,168149.0,67215.0,,4636.0,-27022.0,212978.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(8.562),(6.338),(2.398),(362),-,(17.660),-8562.0,-6338.0,-2398.0,-362.0,,-17660.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,280.898,254.284,1.582,18.233,25.543,580.540,280898.0,254284.0,1582.0,18233.0,25543.0,580540.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,15.200,54.729,1.672,6.637,5.227,83.465,15200.0,54729.0,1672.0,6637.0,5227.0,83465.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.536,24.888,303,1.855,3.766,36.348,5536.0,24888.0,303.0,1855.0,3766.0,36348.0
Chuyển từ/(sang) bắt động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ/(sang) bắt động sản đầu tư,Chuyển từ/(sang) bắt động sản đầu tư,(202),19.034,-,1.761,(2.053),18.540,-202.0,19034.0,,1761.0,-2053.0,18540.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(3.204),(3.993),(757),(305),-,(8.259),-3204.0,-3993.0,-757.0,-305.0,,-8259.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,17.330,94.658,1.218,9.948,6.940,130.094,17330.0,94658.0,1218.0,9948.0,6940.0,130094.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,100.372,127.678,2.308,4.592,47.006,281.956,100372.0,127678.0,2308.0,4592.0,47006.0,281956.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,263.568,159.626,364,8.285,18.603,450.446,263568.0,159626.0,364.0,8285.0,18603.0,450446.0
