row_label_raw,row_label_full,col_0,Cổ phiếu phổ thôngcó quyền biểu quyếtTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Cổ phiếu quỹTriệu VND,Quỹ khác thuộc vốnchư sở hữuTriệu VND,Lợi nhuậnchưa phân phốiTriệu VND,Lợi ích cửa cổ đôngkhông kiểm soátTriệu VND,TổngTriệu VND,numeric__Cổ phiếu phổ thôngcó quyền biểu quyếtTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Cổ phiếu quỹTriệu VND,numeric__Quỹ khác thuộc vốnchư sở hữuTriệu VND,numeric__Lợi nhuậnchưa phân phốiTriệu VND,numeric__Lợi ích cửa cổ đôngkhông kiểm soátTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm2018,Số dư tại ngày 1 tháng 1 năm2018,Số dư tại ngày 1 tháng 1 năm2018,19.010.787,4.324.380,,(58.420),2.786.541,30.766,26.094.054,19010787.0,4324380.0,,-58420.0,2786541.0,30766.0,26094054.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,2.404.386,8.841,2.413.227,,,,,2404386.0,8841.0,2413227.0
Lợi ích cổ đông không kiểm soát tăng vốn trong một công ty con,Lợi ích cổ đông không kiểm soát tăng vốn trong một công ty con,Lợi ích cổ đông không kiểm soát tăng vốn trong một công ty con,-,-,-,-,-,2.000,2.000,,,,,,2000.0,2000.0
Tăng vốn từ nguồn vốnchủ sở hữu,Tăng vốn từ nguồn vốnchủ sở hữu,Tăng vốn từ nguồn vốnchủ sở hữu,4.277.397,(4.277.397),-,-,-,-,-,4277397.0,-4277397.0,,,,,
Số dư tại ngày 1 tháng 1 năm2019,Số dư tại ngày 1 tháng 1 năm2019,Số dư tại ngày 1 tháng 1 năm2019,23.288.184,46.983,-,(58.420),5.190.927,41.607,28.509.281,23288184.0,46983.0,,-58420.0,5190927.0,41607.0,28509281.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,2.851.480,453,2.851.933,,,,,2851480.0,453.0,2851933.0
Cổ tức công bố bởi Công ty(Thuyết minh 30),Cổ tức công bố bởi Công ty(Thuyết minh 30),Cổ tức công bố bởi Công ty(Thuyết minh 30),-,-,-,-,(2.445.259),-,(2.445.259),,,,,-2445259.0,,-2445259.0
Cổ tức công bố bởi công ty con,Cổ tức công bố bởi công ty con,Cổ tức công bố bởi công ty con,-,-,-,-,-,(8.190),(8.190),,,,,,-8190.0,-8190.0
Phân bố vào các quỹ,Phân bố vào các quỹ,Phân bố vào các quỹ,-,-,-,5.000,(5.000),-,-,,,,5000.0,-5000.0,,
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(1.954.258),-,-,-,(1.954.258),,,-1954258.0,,,,-1954258.0
Số dư tại ngày 31 tháng 12năm 2019,Số dư tại ngày 31 tháng 12năm 2019,Số dư tại ngày 31 tháng 12năm 2019,23.288.184,46.983,(1.954.258),(53.420),5.592.148,33.870,26.953.507,23288184.0,46983.0,-1954258.0,-53420.0,5592148.0,33870.0,26953507.0
