row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019Triệu VND,1/1/2019Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019Triệu VND,numeric__1/1/2019Triệu VND
Tài sản dài hạn (200 = 210 + 220+ 230 + 240 + 250 + 260),Tài sản dài hạn (200 = 210 + 220+ 230 + 240 + 250 + 260),Tài sản dài hạn (200 = 210 + 220+ 230 + 240 + 250 + 260),200,,30.768.281,31.561.043,200.0,,30768281.0,31561043.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,8.659,10.107,210.0,,8659.0,10107.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,9(c),8.659,10.107,216.0,,8659.0,10107.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,473.832,307.842,220.0,,473832.0,307842.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,13,450.446,281.956,221.0,13.0,450446.0,281956.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,580.540,365.421,222.0,,580540.0,365421.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(130.094),(83.465),223.0,,-130094.0,-83465.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,14,23.386,25.886,227.0,14.0,23386.0,25886.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,49.787,45.236,228.0,,49787.0,45236.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(26.401),(19.350),229.0,,-26401.0,-19350.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,15,28.063.677,26.429.422,230.0,15.0,28063677.0,26429422.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,32.702.792,29.763.599,231.0,,32702792.0,29763599.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(4.639.115),(3.334.177),232.0,,-4639115.0,-3334177.0
Tài sản dỡ dang dài hạn,Tài sản dỡ dang dài hạn,Tài sản dỡ dang dài hạn,240,,654.380,1.343.478,240.0,,654380.0,1343478.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,16,654.380,1.343.478,242.0,16.0,654380.0,1343478.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,-,1.832.000,250.0,,,1832000.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,-,2.000,253.0,,,2000.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,255,6,-,1.830.000,255.0,6.0,,1830000.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,1.567.733,1.638.194,260.0,,1567733.0,1638194.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,17(b),554.712,593.379,261.0,,554712.0,593379.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,18,9.243,9.453,262.0,18.0,9243.0,9453.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,12,597.000,556.000,268.0,12.0,597000.0,556000.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,19,406.778,479.362,269.0,19.0,406778.0,479362.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,35.838.690,38.683.683,270.0,,35838690.0,38683683.0
