row_label_raw,row_label_full,col_0,2019Triệu VND,numeric__2019Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.343.478,1343478.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,2.105.617,2105617.0
Chuyển sang tài sản cổ định hữu hình,Chuyển sang tài sản cổ định hữu hình,Chuyển sang tài sản cổ định hữu hình,(7.416),-7416.0
Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(2.787.299),-2787299.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,654.380,654380.0
