row_label_raw,row_label_full,Tên công ty,Hoạt động chính,Địa chỉ,Phần trăm lợi ích kinh tế và quyền biểu quyết,Phần trăm lợi ích kinh tế và quyền biểu quyết_1,numeric__Hoạt động chính,numeric__Địa chỉ,numeric__Phần trăm lợi ích kinh tế và quyền biểu quyết,numeric__Phần trăm lợi ích kinh tế và quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Hoạt động chính,Địa chỉ,31/12/2019,1/1/2019,,,,
Công ty TNHH Vincom Retail Miền Nam,Tên công ty > Công ty TNHH Vincom Retail Miền Nam,Công ty TNHH Vincom Retail Miền Nam,"Cho thuê trung tâm thương mại, văn phòng, cung cấp các dịch vụ liên quan, và kinh doanh bất động sản và dịch vụ vui chơi giải trí.","Số 72 Đường Lê Thánh Tôn và số 45A Đường Lý Tự Trọng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam.","100,00%","100,00%",,,1.0,1.0
Công ty TNHH Vincom Retail Miền Bắc,Tên công ty > Công ty TNHH Vincom Retail Miền Bắc,Công ty TNHH Vincom Retail Miền Bắc,"Cho thuê trung tâm thương mại, văn phòng, cung cấp các dịch vụ liên quan, và kinh doanh bất động sản và dịch vụ vui chơi giải trí.","Số 72A Đường Nguyễn Trãi, Phường Thương Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam.","100,00%","100,00%",,,1.0,1.0
Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,Tên công ty > Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,"Cho thuê trung tâm thương mại, văn phòng, cung cấp các dịch vụ liên quan, và kinh doanh bất động sản và dịch vụ vui chơi giải trí.","Km 1+200, Đường Trần Hưng Đạo, Phường Suối Hoa, Thành phố Bắc Ninh, Tinh Bắc Ninh, Việt Nam.","97,27%","97,27%",,,0.9727,0.9727
Công ty TNHH Đầu tư và Phát triển Bất động sản Hà Thành (*),Tên công ty > Công ty TNHH Đầu tư và Phát triển Bất động sản Hà Thành (*),Công ty TNHH Đầu tư và Phát triển Bất động sản Hà Thành (*),"Cho thuê trung tâm thương mại, văn phòng, cung cấp các dịch vụ liên quan, và kinh doanh bất động sản và dịch vụ vui chơi giải trí.","Số 7, Đường Bằng Lăng 1, Khu đô thị sinh thải Vinhomes Riverside, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội, Việt Nam.","100,00%","10,00%",,,1.0,0.1
