row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019_1,Tại ngày 1 tháng 1 năm 2019_2,Tại ngày 1 tháng 1 năm 2019_3,Tại ngày 1 tháng 1 năm 2019_4,numeric__Tại ngày 1 tháng 1 năm 2019_1,numeric__Tại ngày 1 tháng 1 năm 2019_2,numeric__Tại ngày 1 tháng 1 năm 2019_3,numeric__Tại ngày 1 tháng 1 năm 2019_4
,,,Kinh doanh chuyển nhượng bất động sảnTriệu VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quanTriệu VND,KhácTriệu VND,Hợp nhấtTriệu VND,,,,
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,1.114.980,32.173.771,131.070,33.419.821,1114980.0,32173771.0,131070.0,33419821.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,5.263.862,,,,5263862.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,38.683.683,,,,38683683.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.458.914,4.392.888,100.993,6.952.795,2458914.0,4392888.0,100993.0,6952795.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,3.221.607,,,,3221607.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,10.174.402,,,,10174402.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,
Chỉ tiêu vốn,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Chỉ tiêu vốn,Chỉ tiêu vốn,-,7.648.164,16.690,7.664.854,,7648164.0,16690.0,7664854.0
Khấu hao tài sản cố định hữu hình,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,-,21.906,14.160,36.066,,21906.0,14160.0,36066.0
Phân bổ tài sản cố định vô hình và lợi thế thương mại,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Phân bổ tài sản cố định vô hình và lợi thế thương mại,Phân bổ tài sản cố định vô hình và lợi thế thương mại,-,79.452,-,79.452,,79452.0,,79452.0
Khấu hao bất động sản đầu tư,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,-,1.033.423,8.058,1.041.481,,1033423.0,8058.0,1041481.0
