row_label_raw,row_label_full,col_0,Quỹ dự trữ bổ sungvốn điều lệVND,Quỹ dự phòngtài chínhVND,Quỹ khác thuộcvốn chủ sở hữuVND,TổngVND,numeric__Quỹ dự trữ bổ sungvốn điều lệVND,numeric__Quỹ dự phòngtài chínhVND,numeric__Quỹ khác thuộcvốn chủ sở hữuVND,numeric__TổngVND
Số dư tại ngày 1tháng 1 năm 2025,Số dư tại ngày 1tháng 1 năm 2025,Số dư tại ngày 1tháng 1 năm 2025,662.488.211.467,2.560.763.862.811,374.056.888,3.223.626.131.166,662488211467.0,2560763862811.0,374056888.0,3223626131166.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,(662.488.211.467),-,-,(662.488.211.467),-662488211467.0,,,-662488211467.0
Trích lập trong năm,Trích lập trong năm,Trích lập trong năm,400.886.654.887,360.797.989.398,-,761.684.644.285,400886654887.0,360797989398.0,,761684644285.0
Số dư tại ngày 31tháng 12 năm 2025,Số dư tại ngày 31tháng 12 năm 2025,Số dư tại ngày 31tháng 12 năm 2025,400.886.654.887,2.921.561.852.209,374.056.888,3.322.822.563.984,400886654887.0,2921561852209.0,374056888.0,3322822563984.0
Số dư tại ngày 1tháng 1 năm 2024,Số dư tại ngày 1tháng 1 năm 2024,Số dư tại ngày 1tháng 1 năm 2024,345.053.408.131,2.243.329.059.475,374.056.888,2.588.756.524.494,345053408131.0,2243329059475.0,374056888.0,2588756524494.0
Trích lập trong năm,Trích lập trong năm,Trích lập trong năm,317.434.803.336,317.434.803.336,-,634.869.606.672,317434803336.0,317434803336.0,,634869606672.0
Số dư tại ngày 31tháng 12 năm 2024,Số dư tại ngày 31tháng 12 năm 2024,Số dư tại ngày 31tháng 12 năm 2024,662.488.211.467,2.560.763.862.811,374.056.888,3.223.626.131.166,662488211467.0,2560763862811.0,374056888.0,3223626131166.0
