row_label_raw,row_label_full,col_0,The South VND,The North VND,The Central VND,Eliminations VND,Total VND,numeric__The South VND,numeric__The North VND,numeric__The Central VND,numeric__Eliminations VND,numeric__Total VND
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,,,,,
III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,,,,,
1. Cash and gold,1. Cash and gold,1. Cash and gold,"474,093,945,174","170,345,995,129","143,333,831,523",-,"787,773,771,826",,,,,
2. Fixed assets,2. Fixed assets,2. Fixed assets,"497,164,196,578","38,026,165,070","94,595,641,831",-,"629,786,003,479",,,,,
3. Other assets,3. Other assets,3. Other assets,"229,689,210,547,955","28,084,740,392,492","17,319,234,072,850",-,"275,093,185,013,297",,,,,
TOTAL ASSETS,TOTAL ASSETS,TOTAL ASSETS,"230,660,468,689,707","28,293,112,552,691","17,557,163,546,204",-,"276,510,744,788,602",,,,,
IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,,,,,
1. External liabilities,1. External liabilities,1. External liabilities,"(199,679,659,688,036)","(27,833,773,329,123)","(17,153,543,784,221)",-,"(244,666,976,801,380)",,,,,
2. Internal liabilities,2. Internal liabilities,2. Internal liabilities,"(9,670,775,746)",-,-,-,"(9,670,775,746)",,,,,
3. Other liabilities,3. Other liabilities,3. Other liabilities,"(163,220,049,733)",-,-,-,"(163,220,049,733)",,,,,
TOTAL LIABILITIES,TOTAL LIABILITIES,TOTAL LIABILITIES,"(199,852,550,513,515)","(27,833,773,329,123)","(17,153,543,784,221)",-,"(244,839,867,626,859)",,,,,
