row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2025 VND,31/12/2024 VND (đã điều chỉnh lại),numeric__col_1,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__31/12/2024 VND (đã điều chỉnh lại)
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,4,1.160.353.537.112,787.773.771.826,,4.0,1160353537112.0,787773771826.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,2.883.240.107.112,2.377.473.012.237,,5.0,2883240107112.0,2377473012237.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,53.061.333.717.576,39.126.199.257.631,,6.0,53061333717576.0,39126199257631.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,52.951.606.717.576,38.922.550.757.631,,,52951606717576.0,38922550757631.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,109.727.000.000,203.648.500.000,,,109727000000.0,203648500000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,50.765.500.000,-,,7.0,50765500000.0,
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,19,88.476.577.033,-,,19.0,88476577033.0,
VI,A > VI,VI,Cho vay khách hàng,,195.190.887.725.518,168.295.145.827.686,,,195190887725518.0,168295145827686.0
1,A > 1,1,Cho vay khách hàng,8,198.764.945.826.810,170.844.469.638.663,,8.0,198764945826810.0,170844469638663.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(3.574.058.101.292),(2.549.323.810.977),,9.0,-3574058101292.0,-2549323810977.0
VII,A > VII,VII,Hoạt động mua nợ,10,4.205.191.220.572,5.041.128.156.935,,10.0,4205191220572.0,5041128156935.0
1,A > 1,1,Mua nợ,,4.236.968.484.204,5.079.222.324.368,,,4236968484204.0,5079222324368.0
2,A > 2,2,Dự phòng rủi ro hoạt động mua nợ,,(31.777.263.632),(38.094.167.433),,,-31777263632.0,-38094167433.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,58.355.283.948.524,52.589.033.787.156,,11.0,58355283948524.0,52589033787156.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,57.068.503.060.644,52.635.610.527.457,,,57068503060644.0,52635610527457.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,1.313.209.000.824,-,,,1313209000824.0,
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(26.428.112.944),(46.576.740.301),,,-26428112944.0,-46576740301.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",12,525.000.000.000,25.000.000.000,,12.0,525000000000.0,25000000000.0
1,A > 1,1,Đầu tư vào công ty con,,525.000.000.000,25.000.000.000,,,525000000000.0,25000000000.0
X,A > X,X,Tài sản cố định,,693.605.975.833,629.786.003.479,,,693605975833.0,629786003479.0
1,A > 1,1,Tài sản cố định hữu hình,13,298.311.967.113,341.299.885.196,,13.0,298311967113.0,341299885196.0
a,A > a,a,Nguyên giá,,935.691.076.302,897.989.633.453,,,935691076302.0,897989633453.0
b,A > b,b,Giá trị hao mòn lũy kế,,(637.379.109.189),(556.689.748.257),,,-637379109189.0,-556689748257.0
3,A > 3,3,Tài sản cố định vô hình,14,395.294.008.720,288.486.118.283,,14.0,395294008720.0,288486118283.0
a,A > a,a,Nguyên giá,,792.572.357.622,635.944.945.135,,,792572357622.0,635944945135.0
b,A > b,b,Giá trị hao mòn lũy kế,,(397.278.348.902),(347.458.826.852),,,-397278348902.0,-347458826852.0
XII,A > XII,XII,Tài sản Có khác,,7.259.425.385.233,7.639.204.971.652,,,7259425385233.0,7639204971652.0
1,A > 1,1,Các khoản phải thu,15(a),2.723.314.554.468,2.867.038.481.608,,,2723314554468.0,2867038481608.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),3.346.030.161.632,2.778.453.061.157,,,3346030161632.0,2778453061157.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,9.154.773.987,-,,,9154773987.0,
4,A > 4,4,Tài sản Có khác,15(c),1.210.338.911.373,1.998.513.428.887,,,1210338911373.0,1998513428887.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,15(d),(29.413.016.227),(4.800.000.000),,,-29413016227.0,-4800000000.0
,,,TỔNG TÀI SẢN,,323.473.563.694.513,276.510.744.788.602,,,323473563694513.0,276510744788602.0
