row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2025,Khu vực Miền Nam VND > Năm kết thúc ngày 31 tháng 12 năm 2025,Khu vực Miền Bắc VND > Năm kết thúc ngày 31 tháng 12 năm 2025,Khu vực Miền Trung VND > Năm kết thúc ngày 31 tháng 12 năm 2025,Loại trừ VND > Năm kết thúc ngày 31 tháng 12 năm 2025,Tổng VND > Năm kết thúc ngày 31 tháng 12 năm 2025,numeric__Khu vực Miền Nam VND > Năm kết thúc ngày 31 tháng 12 năm 2025,numeric__Khu vực Miền Bắc VND > Năm kết thúc ngày 31 tháng 12 năm 2025,numeric__Khu vực Miền Trung VND > Năm kết thúc ngày 31 tháng 12 năm 2025,numeric__Loại trừ VND > Năm kết thúc ngày 31 tháng 12 năm 2025,numeric__Tổng VND > Năm kết thúc ngày 31 tháng 12 năm 2025
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,
1. Doanh thu lãi,I. Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,47.224.814.146.761,5.370.381.469.048,3.220.402.636.382,(34.697.252.390.057),21.118.345.862.134,47224814146761.0,5370381469048.0,3220402636382.0,-34697252390057.0,21118345862134.0
Doanh thu lãi từ khách hàng bên ngoài,I. Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,15.359.222.236.684,3.636.458.734.297,2.122.664.891.153,-,21.118.345.862.134,15359222236684.0,3636458734297.0,2122664891153.0,,21118345862134.0
Doanh thu lãi nội bộ,I. Doanh thu > Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,31.865.591.910.077,1.733.922.734.751,1.097.737.745.229,(34.697.252.390.057),-,31865591910077.0,1733922734751.0,1097737745229.0,-34697252390057.0,
2. Doanh thu từ hoạt động dịch vụ,I. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,1.117.130.834.702,76.982.525.562,41.601.296.370,-,1.235.714.656.634,1117130834702.0,76982525562.0,41601296370.0,,1235714656634.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,2.019.842.091.326,1.024.990.159.626,512.346.441.149,(1.076.122.421.617),2.481.056.270.484,2019842091326.0,1024990159626.0,512346441149.0,-1076122421617.0,2481056270484.0
TỔNG THU NHẬP HOẠT ĐỘNG,I. Doanh thu > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,50.361.787.072.789,6.472.354.154.236,3.774.350.373.901,(35.773.374.811.674),24.835.116.789.252,50361787072789.0,6472354154236.0,3774350373901.0,-35773374811674.0,24835116789252.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,
1. Chi phí lãi,II. Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(40.068.384.803.234),(4.109.507.352.537),(2.391.887.068.769),34.697.252.390.057,(11.872.526.834.483),-40068384803234.0,-4109507352537.0,-2391887068769.0,34697252390057.0,-11872526834483.0
Chi phí lãi cho khách hàng bên ngoài,II. Chi phí > Chi phí lãi cho khách hàng bên ngoài,Chi phí lãi cho khách hàng bên ngoài,(9.715.187.878.354),(1.306.256.774.794),(851.082.181.335),-,(11.872.526.834.483),-9715187878354.0,-1306256774794.0,-851082181335.0,,-11872526834483.0
