row_label_raw,row_label_full,col_0,Vốn điều lệ VND,Thăng dư vốn cổ phần VND,Quỹ của TCTD VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn điều lệ VND,numeric__Thăng dư vốn cổ phần VND,numeric__Quỹ của TCTD VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,24.657.891.520.000,53.271.987.348,3.223.626.131.166,3.736.087.523.229,31.670.877.161.743,24657891520000.0,53271987348.0,3223626131166.0,3736087523229.0,31670877161743.0
Tăng vốn từ phát hành cổ phiếu thường,Tăng vốn từ phát hành cổ phiếu thường,Tăng vốn từ phát hành cổ phiếu thường,1.972.631.320.000,(53.271.987.348),(662.488.211.467),(1.256.871.121.185),-,1972631320000.0,-53271987348.0,-662488211467.0,-1256871121185.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,4.008.866.548.868,4.008.866.548.868,,,,4008866548868.0,4008866548868.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(1.726.052.406.400),(1.726.052.406.400),,,,-1726052406400.0,-1726052406400.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,761.684.644.285,(761.684.644.285),-,,,761684644285.0,-761684644285.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(30.394.784.266),(30.394.784.266),,,,-30394784266.0,-30394784266.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,26.630.522.840.000,-,3.322.822.563.984,3.969.951.115.961,33.923.296.519.945,26630522840000.0,,3322822563984.0,3969951115961.0,33923296519945.0
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,20.548.242.940.000,53.271.987.348,2.588.756.524.494,5.344.327.649.817,28.534.599.101.659,20548242940000.0,53271987348.0,2588756524494.0,5344327649817.0,28534599101659.0
Tăng vốn từ phát hành cổ phiếu thường,Tăng vốn từ phát hành cổ phiếu thường,Tăng vốn từ phát hành cổ phiếu thường,4.109.648.580.000,-,-,(4.109.648.580.000),-,4109648580000.0,,,-4109648580000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.174.348.033.358,3.174.348.033.358,,,,3174348033358.0,3174348033358.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,634.869.606.672,(634.869.606.672),-,,,634869606672.0,-634869606672.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(38.069.973.274),(38.069.973.274),,,,-38069973274.0,-38069973274.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,24.657.891.520.000,53.271.987.348,3.223.626.131.166,3.736.087.523.229,31.670.877.161.743,24657891520000.0,53271987348.0,3223626131166.0,3736087523229.0,31670877161743.0
