row_label_raw,row_label_full,col_0,31/12/2025VND,31/12/2024VND(dã điều chỉnh lại),numeric__31/12/2025VND,numeric__31/12/2024VND(dã điều chỉnh lại)
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,10.687.551.471,9.670.775.746,10687551471.0,9670775746.0
▪ Các khoản phải trả nhân viên,▪ Các khoản phải trả nhân viên,▪ Các khoản phải trả nhân viên,10.687.551.471,9.670.775.746,10687551471.0,9670775746.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,1.757.216.951.390,740.162.443.004,1757216951390.0,740162443004.0
▪ Thuế phải trả (Thuyết minh 23),▪ Thuế phải trả (Thuyết minh 23),▪ Thuế phải trả (Thuyết minh 23),690.944.035.776,358.297.008.813,690944035776.0,358297008813.0
▪ Phải trả khách hàng (i),▪ Phải trả khách hàng (i),▪ Phải trả khách hàng (i),493.293.720.246,-,493293720246.0,
▪ Phải trả dịch vụ thanh toán thẻ,▪ Phải trả dịch vụ thanh toán thẻ,▪ Phải trả dịch vụ thanh toán thẻ,263.813.636.457,65.702.764.624,263813636457.0,65702764624.0
▪ Tiền giữ hộ và đợi thanh toán,▪ Tiền giữ hộ và đợi thanh toán,▪ Tiền giữ hộ và đợi thanh toán,42.360.302.546,36.245.740.820,42360302546.0,36245740820.0
▪ Cổ tức phải trả,▪ Cổ tức phải trả,▪ Cổ tức phải trả,29.996.220.530,17.992.908.126,29996220530.0,17992908126.0
▪ Phải trả dịch vụ kiểu hối,▪ Phải trả dịch vụ kiểu hối,▪ Phải trả dịch vụ kiểu hối,16.682.972.826,56.738.563.534,16682972826.0,56738563534.0
▪ Các khoản phải trả khác,▪ Các khoản phải trả khác,▪ Các khoản phải trả khác,220.126.063.009,205.185.457.087,220126063009.0,205185457087.0
"Quỹ khen thưởng, phúc lợi (ii)","Quỹ khen thưởng, phúc lợi (ii)","Quỹ khen thưởng, phúc lợi (ii)",188.071.833.999,163.220.049.733,188071833999.0,163220049733.0
,,,1.955.976.336.860,913.053.268.483,1955976336860.0,913053268483.0
