row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Chưa quá hạn và chưa bị giảm giá trị VND,Đã quá hạn và chưa bị giảm giá trị VND,Đã quá hạn và đã trích lập dự phòng VND,Tổng cộng VND,numeric__Chưa quá hạn và chưa bị giảm giá trị VND,numeric__Đã quá hạn và chưa bị giảm giá trị VND,numeric__Đã quá hạn và đã trích lập dự phòng VND,numeric__Tổng cộng VND
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,53.061.333.717.576,-,-,53.061.333.717.576,53061333717576.0,,,53061333717576.0
▪ Tiền gửi tại TCTD khác,▪ Tiền gửi tại TCTD khác,▪ Tiền gửi tại TCTD khác,52.951.606.717.576,-,-,52.951.606.717.576,52951606717576.0,,,52951606717576.0
▪ Cho vay các TCTD khác,▪ Cho vay các TCTD khác,▪ Cho vay các TCTD khác,109.727.000.000,-,-,109.727.000.000,109727000000.0,,,109727000000.0
Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,192.779.891.935.468,1.549.259.324.169,8.672.763.051.377,203.001.914.311.014,192779891935468.0,1549259324169.0,8672763051377.0,203001914311014.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,50.765.500.000,-,-,50.765.500.000,50765500000.0,,,50765500000.0
Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,57.004.257.059.977,-,-,57.004.257.059.977,57004257059977.0,,,57004257059977.0
Tài sản Có khác - gộp,Tài sản Có khác - gộp,Tài sản Có khác - gộp,3.689.297.302.393,-,23.609.441.543,3.712.906.743.936,3689297302393.0,,23609441543.0,3712906743936.0
,,,306.585.545.515.414,1.549.259.324.169,8.696.372.492.920,316.831.177.332.503,306585545515414.0,1549259324169.0,8696372492920.0,316831177332503.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Chưa quá hạn và chưa bị giảm giá trị VND,Đã quá hạn và chưa bị giảm giá trị VND,Đã quá hạn và đã trích lập dự phòng VND,Tổng cộng VND,,,,
Tiền gửi tại và cho vay các TCTD khác,Tại ngày 31 tháng 12 năm 2024 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,39.126.199.257.631,-,-,39.126.199.257.631,39126199257631.0,,,39126199257631.0
▪ Tiền gửi tại TCTD khác,Tại ngày 31 tháng 12 năm 2024 > ▪ Tiền gửi tại TCTD khác,▪ Tiền gửi tại TCTD khác,38.922.550.757.631,-,-,38.922.550.757.631,38922550757631.0,,,38922550757631.0
▪ Cho vay các TCTD khác,Tại ngày 31 tháng 12 năm 2024 > ▪ Cho vay các TCTD khác,▪ Cho vay các TCTD khác,203.648.500.000,-,-,203.648.500.000,203648500000.0,,,203648500000.0
Cho vay khách hàng và mua nợ - gộp,Tại ngày 31 tháng 12 năm 2024 > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,164.754.201.035.482,2.715.506.141.216,8.453.984.786.333,175.923.691.963.031,164754201035482.0,2715506141216.0,8453984786333.0,175923691963031.0
Chứng khoán đầu tư sẵn sàng để bán - gộp,Tại ngày 31 tháng 12 năm 2024 > Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,52.570.055.718.310,-,-,52.570.055.718.310,52570055718310.0,,,52570055718310.0
Tài sản Có khác - gộp,Tại ngày 31 tháng 12 năm 2024 > Tài sản Có khác - gộp,Tài sản Có khác - gộp,3.328.328.011.723,-,-,3.328.328.011.723,3328328011723.0,,,3328328011723.0
,,,259.778.784.023.146,2.715.506.141.216,8.453.984.786.333,270.948.274.950.695,259778784023146.0,2715506141216.0,8453984786333.0,270948274950695.0
