row_label_raw,row_label_full,col_0,Thay đổi lãi suất,Ảnh hưởng đến kết quả thu nhập lãi thuần Tăng/(giảm) VND,numeric__Thay đổi lãi suất,numeric__Ảnh hưởng đến kết quả thu nhập lãi thuần Tăng/(giảm) VND
Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,,
VND,Ngày 31 tháng 12 năm 2025 > VND,VND,"0,20%",(40.439.564.497),0.002,-40439564497.0
VND,Ngày 31 tháng 12 năm 2025 > VND,VND,"(0,20%)",40.439.564.497,,40439564497.0
USD,Ngày 31 tháng 12 năm 2025 > USD,USD,"0,20%",14.316.623.601,0.002,14316623601.0
USD,Ngày 31 tháng 12 năm 2025 > USD,USD,"(0,20%)",(14.316.623.601),,-14316623601.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,,
VND,Ngày 31 tháng 12 năm 2024 > VND,VND,"0,20%",(22.071.265.152),0.002,-22071265152.0
VND,Ngày 31 tháng 12 năm 2024 > VND,VND,"(0,20%)",22.071.265.152,,22071265152.0
USD,Ngày 31 tháng 12 năm 2024 > USD,USD,"0,20%",2.459.292.765,0.002,2459292765.0
USD,Ngày 31 tháng 12 năm 2024 > USD,USD,"(0,20%)",(2.459.292.765),,-2459292765.0
