row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,EUR được quy đổi VND,USD được quy đổi VND,Giá trị vàng tiền tệ được quy đổi VND,Các ngoại tệ khác được quy đổi VND,Tổng VND,numeric__EUR được quy đổi VND,numeric__USD được quy đổi VND,numeric__Giá trị vàng tiền tệ được quy đổi VND,numeric__Các ngoại tệ khác được quy đổi VND,numeric__Tổng VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,150.582.945.203,98.968.202.108,60.720.000,46.506.613.401,296.118.480.712,150582945203.0,98968202108.0,60720000.0,46506613401.0,296118480712.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,79.544.141.552,-,-,79.544.141.552,,79544141552.0,,,79544141552.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,18.037.468.720,3.666.054.077.672,-,129.294.960.827,3.813.386.507.219,18037468720.0,3666054077672.0,,129294960827.0,3813386507219.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,(139.855.500.000),6.543.472.371.359,-,-,6.403.616.871.359,-139855500000.0,6543472371359.0,,,6403616871359.0
Cho vay khách hàng và mua nợ – gộp,Tài sản > Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,-,1.619.987.622.519,-,-,1.619.987.622.519,,1619987622519.0,,,1619987622519.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,3.309.914,242.746.886.867,-,-,242.750.196.781,3309914.0,242746886867.0,,,242750196781.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),28.768.223.837,12.250.773.302.077,60.720.000,175.801.574.228,12.455.403.820.142,28768223837.0,12250773302077.0,60720000.0,175801574228.0,12455403820142.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,3.179.093.500.000,-,-,3.179.093.500.000,,3179093500000.0,,,3179093500000.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,26.732.265.023,1.926.840.577.693,-,149.020.267.751,2.102.593.110.467,26732265023.0,1926840577693.0,,149020267751.0,2102593110467.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,6.143.060.948.485,-,-,6.143.060.948.485,,6143060948485.0,,,6143060948485.0
Các khoản nợ khác – gộp,Nợ phải trả > Các khoản nợ khác – gộp,Các khoản nợ khác – gộp,1.621.640.936,617.350.111.004,20.104.392,8.895.379.041,627.887.235.373,1621640936.0,617350111004.0,20104392.0,8895379041.0,627887235373.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),28.353.905.959,11.866.345.137.182,20.104.392,157.915.646.792,12.052.634.794.325,28353905959.0,11866345137182.0,20104392.0,157915646792.0,12052634794325.0
Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Nợ phải trả > Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],414.317.878,384.428.164.895,40.615.608,17.885.927.436,402.769.025.817,414317878.0,384428164895.0,40615608.0,17885927436.0,402769025817.0
Trạng thái tiền tệ ngoại bảng (4),Nợ phải trả > Trạng thái tiền tệ ngoại bảng (4),Trạng thái tiền tệ ngoại bảng (4),-,2.368.128.817.890,-,(3.529.800.000),2.364.599.017.890,,2368128817890.0,,-3529800000.0,2364599017890.0
"Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]",414.317.878,2.752.556.982.785,40.615.608,14.356.127.436,2.767.368.043.707,414317878.0,2752556982785.0,40615608.0,14356127436.0,2767368043707.0
