row_label_raw,row_label_full,col_0,31/12/2025%,31/12/2024%,numeric__31/12/2025%,numeric__31/12/2024%
Term deposits in VND,Term deposits in VND,Term deposits in VND,5.80 - 9.50,3.80 - 5.30,,
Term deposits in foreign currencies,Term deposits in foreign currencies,Term deposits in foreign currencies,4.05 - 4.15,4.40 - 5.05,,
Loans in VND,Term deposits in foreign currencies > Loans in VND,Loans in VND,0.00,4.40 - 4.50,0.0,
