row_label_raw,row_label_full,col_0,col_1,Note,2025 VND,2024 VND (restated),numeric__col_1,numeric__Note,numeric__2025 VND,numeric__2024 VND (restated)
1,1,1,Interest and similar income,25,"21,118,345,862,134","17,954,213,013,236",,25.0,,
2,2,2,Interest and similar expenses,25,"(11,872,526,834,483)","(9,348,746,630,835)",,25.0,,
I,I,I,Net interest income,25,"9,245,819,027,651","8,605,466,382,401",,25.0,,
3,3,3,Fee and commission income,26,"1,235,714,656,634","1,073,463,790,640",,26.0,,
4,4,4,Fee and commission expenses,26,"(225,017,442,403)","(142,376,933,748)",,26.0,,
II,II,II,Net fee and commission income,26,"1,010,697,214,231","931,086,856,892",,26.0,,
III,III,III,Net gain from trading of foreign currencies,27,"216,291,012,262","310,953,918,546",,27.0,,
IV,IV,IV,Net (loss)/gain from trading of held-for-trading securities,28,"(45,400,040,000)","2,250,030,000",,28.0,,
V,V,V,Net loss from sale of investment securities,29,"(228,916,152,847)","(188,421,795,033)",,29.0,,
5,5,5,Other operating income,30,"1,627,447,027,248","520,751,863,305",,30.0,,
6,6,6,Other operating expenses,30,"(239,474,352,770)","(114,101,318,222)",,30.0,,
VI,VI,VI,Net gain from other operating activities,30,"1,387,972,674,478","406,650,545,083",,30.0,,
VII,VII,VII,Income from investments in other entities,,"518,337,114","1,072,015,796",,,,
VIII,VII > VIII,VIII,Operating expenses,31,"(4,201,354,527,022)","(3,802,847,689,434)",,31.0,,
IX,IX,IX,Net operating profit before allowance expenses for credit losses,,"7,385,627,545,867","6,266,210,264,251",,,,
X,IX > X,X,Allowance expenses for credit losses,32,"(2,364,748,456,806)","(2,259,026,320,781)",,32.0,,
XI,XI,XI,Profit before tax (carried forward to the next page),,"5,020,879,089,061","4,007,183,943,470",,,,
