row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) VND,Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2025) Tài sản/(Nợ phải trả) VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2025) Tài sản/(Nợ phải trả) VND
Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,,
▪ Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phái sinh tiền tệ > ▪ Giao dịch kỳ hạn tiền tệ,▪ Giao dịch kỳ hạn tiền tệ,9.161.749.855.000,(26.821.575.000),9161749855000.0,-26821575000.0
▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phái sinh tiền tệ > ▪ Giao dịch hoán đổi tiền tệ,▪ Giao dịch hoán đổi tiền tệ,88.573.966.010.450,198.713.002.773,88573966010450.0,198713002773.0
▪ Giao dịch hoán đổi lãi suất hai đồng tiền,Công cụ tài chính phái sinh tiền tệ > ▪ Giao dịch hoán đổi lãi suất hai đồng tiền,▪ Giao dịch hoán đổi lãi suất hai đồng tiền,2.294.857.836.066,(83.414.850.740),2294857836066.0,-83414850740.0
,,,100.030.573.701.516,88.476.577.033,100030573701516.0,88476577033.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,
,,,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) VND,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2024) Tài sản/(Nợ phải trả) VND,,
Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,Công cụ tài chính phái sinh tiền tệ,,
▪ Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phái sinh tiền tệ > ▪ Giao dịch kỳ hạn tiền tệ,▪ Giao dịch kỳ hạn tiền tệ,115.214.689.592,332.672.156,115214689592.0,332672156.0
▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phái sinh tiền tệ > ▪ Giao dịch hoán đổi tiền tệ,▪ Giao dịch hoán đổi tiền tệ,68.222.986.950.000,(309.670.330.000),68222986950000.0,-309670330000.0
▪ Giao dịch hoán đổi lãi suất hai đồng tiền,Công cụ tài chính phái sinh tiền tệ > ▪ Giao dịch hoán đổi lãi suất hai đồng tiền,▪ Giao dịch hoán đổi lãi suất hai đồng tiền,1.226.000.000.000,(46.925.000.000),1226000000000.0,-46925000000.0
,,,69.564.201.639.592,(356.262.657.844),69564201639592.0,-356262657844.0
