row_label_raw,row_label_full,Tên công ty,Giấy Chứng nhậnĐăng ký Kinh doanh,Lĩnh vựckinh doanh,Tỷ lệ sở hữu vàquyền biểu quyết,Tỷ lệ sở hữu vàquyền biểu quyết_1,numeric__Giấy Chứng nhậnĐăng ký Kinh doanh,numeric__Lĩnh vựckinh doanh,numeric__Tỷ lệ sở hữu vàquyền biểu quyết,numeric__Tỷ lệ sở hữu vàquyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Giấy Chứng nhậnĐăng ký Kinh doanh,Lĩnh vựckinh doanh,31/12/2025,31/12/2024,,,,
Công ty TNHH MTVChuyển tiền Quốc tếNgân hàng Thương mạiPhương Đông,Tên công ty > Công ty TNHH MTVChuyển tiền Quốc tếNgân hàng Thương mạiPhương Đông,Công ty TNHH MTVChuyển tiền Quốc tếNgân hàng Thương mạiPhương Đông,Số 0314327542 do Sở Kếhoạch và Đầu tư Thànhphố Hồ Chí Minh cấpngày 3 tháng 4 năm 2017,"Dịch vụ nhận vàchi, trả ngoại tệ",100%,100%,,,1.0,1.0
Công ty TNHH MTVQuản lý nợ và Khai thắctài sản Ngân hàngPhương Đông,Tên công ty > Công ty TNHH MTVQuản lý nợ và Khai thắctài sản Ngân hàngPhương Đông,Công ty TNHH MTVQuản lý nợ và Khai thắctài sản Ngân hàngPhương Đông,Số 0318933777 do SởTài chính Thành phố HồChí Minh cấp ngày 28tháng 4 năm 2025,Quản lý nợ tồnđộng và xử lýtài sản bảo đảm,100%,-,,,1.0,
