row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Khu vực Miền Nam VND > Tại ngày 31 tháng 12 năm 2025,Khu vực Miền Bắc VND > Tại ngày 31 tháng 12 năm 2025,Khu vực Miền Trung VND > Tại ngày 31 tháng 12 năm 2025,Loại trừ VND > Tại ngày 31 tháng 12 năm 2025,Tổng VND > Tại ngày 31 tháng 12 năm 2025,numeric__Khu vực Miền Nam VND > Tại ngày 31 tháng 12 năm 2025,numeric__Khu vực Miền Bắc VND > Tại ngày 31 tháng 12 năm 2025,numeric__Khu vực Miền Trung VND > Tại ngày 31 tháng 12 năm 2025,numeric__Loại trừ VND > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng VND > Tại ngày 31 tháng 12 năm 2025
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,,
1. Tiền mặt và vàng,III. Tài sản > 1. Tiền mặt và vàng,1. Tiền mặt và vàng,713.354.734.571,295.057.321.262,151.941.481.279,-,1.160.353.537.112,713354734571.0,295057321262.0,151941481279.0,,1160353537112.0
2. Tài sản cố định,III. Tài sản > 2. Tài sản cố định,2. Tài sản cố định,571.965.359.050,37.774.828.911,83.865.787.872,-,693.605.975.833,571965359050.0,37774828911.0,83865787872.0,,693605975833.0
3. Tài sản khác,III. Tài sản > 3. Tài sản khác,3. Tài sản khác,270.021.382.945.929,31.220.203.029.855,20.378.018.205.784,-,321.619.604.181.568,270021382945929.0,31220203029855.0,20378018205784.0,,321619604181568.0
TỔNG TÀI SẢN,III. Tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,271.306.703.039.550,31.553.035.180.028,20.613.825.474.935,-,323.473.563.694.513,271306703039550.0,31553035180028.0,20613825474935.0,,323473563694513.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,
1. Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,(239.634.318.530.804),(29.877.112.553.305),(19.840.076.704.989),-,(289.351.507.789.098),-239634318530804.0,-29877112553305.0,-19840076704989.0,,-289351507789098.0
2. Nợ phải trả nội bộ,IV. Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,(10.687.551.471),-,-,-,(10.687.551.471),-10687551471.0,,,,-10687551471.0
3. Nợ phải trả khác,IV. Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,(188.071.833.999),-,-,-,(188.071.833.999),-188071833999.0,,,,-188071833999.0
TỔNG NỘ PHẢI TRẢ,IV. Nợ phải trả > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,(239.833.077.916.274),(29.877.112.553.305),(19.840.076.704.989),-,(289.550.267.174.568),-239833077916274.0,-29877112553305.0,-19840076704989.0,,-289550267174568.0
