row_label_raw,row_label_full,col_0,31/12/2024(dã điều chỉnh lại) > VND,31/12/2024(theo báo cáotrước đây)VND,numeric__31/12/2024(dã điều chỉnh lại) > VND,numeric__31/12/2024(theo báo cáotrước đây)VND
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,2.867.038.481.608,7.092.555.625.434,2867038481608.0,7092555625434.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,913.053.268.483,5.138.570.412.309,913053268483.0,5138570412309.0
