row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Khu vực Miền Nam VND > Tại ngày 31 tháng 12 năm 2024,Khu vực Miền Bắc VND > Tại ngày 31 tháng 12 năm 2024,Khu vực Miền Trung VND > Tại ngày 31 tháng 12 năm 2024,Loại trừ VND > Tại ngày 31 tháng 12 năm 2024,Tổng VND > Tại ngày 31 tháng 12 năm 2024,numeric__Khu vực Miền Nam VND > Tại ngày 31 tháng 12 năm 2024,numeric__Khu vực Miền Bắc VND > Tại ngày 31 tháng 12 năm 2024,numeric__Khu vực Miền Trung VND > Tại ngày 31 tháng 12 năm 2024,numeric__Loại trừ VND > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng VND > Tại ngày 31 tháng 12 năm 2024
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,,
1. Tiền mặt và vàng,III. Tài sản > 1. Tiền mặt và vàng,1. Tiền mặt và vàng,474.093.945.174,170.345.995.129,143.333.831.523,-,787.773.771.826,474093945174.0,170345995129.0,143333831523.0,,787773771826.0
2. Tài sản cố định,III. Tài sản > 2. Tài sản cố định,2. Tài sản cố định,497.164.196.578,38.026.165.070,94.595.641.831,-,629.786.003.479,497164196578.0,38026165070.0,94595641831.0,,629786003479.0
3. Tài sản khác,III. Tài sản > 3. Tài sản khác,3. Tài sản khác,229.689.210.547.955,28.084.740.392.492,17.319.234.072.850,-,275.093.185.013.297,229689210547955.0,28084740392492.0,17319234072850.0,,275093185013297.0
TỔNG TÀI SẢN,III. Tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,230.660.468.689.707,28.293.112.552.691,17.557.163.546.204,-,276.510.744.788.602,230660468689707.0,28293112552691.0,17557163546204.0,,276510744788602.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,
1. Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,(199.679.659.688.036),(27.833.773.329.123),(17.153.543.784.221),-,(244.666.976.801.380),-199679659688036.0,-27833773329123.0,-17153543784221.0,,-244666976801380.0
2. Nợ phải trả nội bộ,IV. Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,(9.670.775.746),-,-,-,(9.670.775.746),-9670775746.0,,,,-9670775746.0
3. Nợ phải trả khác,IV. Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,(163.220.049.733),-,-,-,(163.220.049.733),-163220049733.0,,,,-163220049733.0
TỔNG NỘ PHẢI TRẢ,IV. Nợ phải trả > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,(199.852.550.513.515),(27.833.773.329.123),(17.153.543.784.221),-,(244.839.867.626.859),-199852550513515.0,-27833773329123.0,-17153543784221.0,,-244839867626859.0
