row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2025 VND,2024 VND (đã điều chỉnh lại),numeric__col_1,numeric__Thuyết minh,numeric__2025 VND,numeric__2024 VND (đã điều chỉnh lại)
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,25,21.118.345.862.134,17.954.213.013.236,,25.0,21118345862134.0,17954213013236.0
2,2,2,Chi phí lãi và các chi phí tương tự,25,(11.872.526.834.483),(9.348.746.630.835),,25.0,-11872526834483.0,-9348746630835.0
I,I,I,Thu nhập lãi thuần,25,9.245.819.027.651,8.605.466.382.401,,25.0,9245819027651.0,8605466382401.0
3,3,3,Thu nhập từ hoạt động dịch vụ,26,1.235.714.656.634,1.073.463.790.640,,26.0,1235714656634.0,1073463790640.0
4,4,4,Chi phí hoạt động dịch vụ,26,(225.017.442.403),(142.376.933.748),,26.0,-225017442403.0,-142376933748.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,26,1.010.697.214.231,931.086.856.892,,26.0,1010697214231.0,931086856892.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,27,216.291.012.262,310.953.918.546,,27.0,216291012262.0,310953918546.0
IV,IV,IV,(Lỗ)/lãi thuần từ mua bán chứng khoán kinh doanh,28,(45.400.040.000),2.250.030.000,,28.0,-45400040000.0,2250030000.0
V,V,V,Lỗ thuần từ mua bán chứng khoán đầu tư,29,(228.916.152.847),(188.421.795.033),,29.0,-228916152847.0,-188421795033.0
5,5,5,Thu nhập từ hoạt động khác,30,1.627.447.027.248,520.751.863.305,,30.0,1627447027248.0,520751863305.0
6,6,6,Chi phí hoạt động khác,30,(239.474.352.770),(114.101.318.222),,30.0,-239474352770.0,-114101318222.0
VI,VI,VI,Lãi thuần từ hoạt động khác,30,1.387.972.674.478,406.650.545.083,,30.0,1387972674478.0,406650545083.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",,518.337.114,1.072.015.796,,,518337114.0,1072015796.0
VIII,VIII,VIII,Chi phí hoạt động,31,(4.201.354.527.022),(3.802.847.689.434),,31.0,-4201354527022.0,-3802847689434.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,7.385.627.545.867,6.266.210.264.251,,,7385627545867.0,6266210264251.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,32,(2.364.748.456.806),(2.259.026.320.781),,32.0,-2364748456806.0,-2259026320781.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,5.020.879.089.061,4.007.183.943.470,,,5020879089061.0,4007183943470.0
