row_label_raw,row_label_full,col_0,The South VND,The North VND,The Central VND,Eliminations VND,Total VND,numeric__The South VND,numeric__The North VND,numeric__The Central VND,numeric__Eliminations VND,numeric__Total VND
As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,As at 31 December 2025,,,,,
III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,III. Assets,,,,,
1. Cash and gold,1. Cash and gold,1. Cash and gold,"713,354,734,571","295,057,321,262","151,941,481,279",-,"1,160,353,537,112",,,,,
2. Fixed assets,2. Fixed assets,2. Fixed assets,"571,965,359,050","37,774,828,911","83,865,787,872",-,"693,605,975,833",,,,,
3. Other assets,3. Other assets,3. Other assets,"270,021,382,945,929","31,220,203,029,855","20,378,018,205,784",-,"321,619,604,181,568",,,,,
TOTAL ASSETS,TOTAL ASSETS,TOTAL ASSETS,"271,306,703,039,550","31,553,035,180,028","20,613,825,474,935",-,"323,473,563,694,513",,,,,
IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,IV. Liabilities,,,,,
1. External liabilities,1. External liabilities,1. External liabilities,"(239,634,318,530,804)","(29,877,112,553,305)","(19,840,076,704,989)",-,"(289,351,507,789,098)",,,,,
2. Internal liabilities,2. Internal liabilities,2. Internal liabilities,"(10,687,551,471)",-,-,-,"(10,687,551,471)",,,,,
3. Other liabilities,3. Other liabilities,3. Other liabilities,"(188,071,833,999)",-,-,-,"(188,071,833,999)",,,,,
TOTAL LIABILITIES,TOTAL LIABILITIES,TOTAL LIABILITIES,"(239,833,077,916,274)","(29,877,112,553,305)","(19,840,076,704,989)",-,"(289,550,267,174,568)",,,,,
