row_label_raw,row_label_full,1,Credit guarantees,37,"281,839,818,425","89,245,268,842",numeric__Credit guarantees,numeric__37,"numeric__281,839,818,425","numeric__89,245,268,842"
2,2,2,Foreign exchange commitments,37,"182,797,611,540,637","138,719,544,097,903",,37.0,,
,,,In which:,,,,,,,
,,,Commitments on purchase foreign exchange,,"2,893,757,692,890","662,365,672,412",,,,
,,,Commitments on sales of foreign exchange,,"2,895,639,800,000","663,446,975,491",,,,
,,,Commitments on currency swap transactions,,"177,008,214,047,747","137,393,731,450,000",,,,
4,4,4,Letters of credit,37,"601,509,002,070","669,334,223,912",,37.0,,
5,5,5,Other guarantees,37,"12,810,654,631,107","6,161,163,020,259",,37.0,,
6,6,6,Other commitments,37,"4,672,128,793,102","2,498,925,000,000",,37.0,,
7,7,7,Uncollected interest and receivable fees,38,"2,241,743,467,942","1,854,843,084,325",,38.0,,
8,8,8,Written-off bad debts,39,"16,960,469,937,084","14,880,784,832,530",,39.0,,
9,9,9,Other assets and documents,40,"87,732,304,489,273","68,135,411,858,929",,40.0,,
