row_label_raw,row_label_full,col_0,Annual allocation,Maximum balance,numeric__Annual allocation,numeric__Maximum balance
Supplement charter capital reserve,Supplement charter capital reserve,Supplement charter capital reserve,10% of profit after tax,Charter capital,,
Financial reserve,Financial reserve,Financial reserve,10% of profit after tax,Not regulated,,
