row_label_raw,row_label_full,Year ended 31 December 2025,Specific allowance VND,General allowance VND,Total VND,numeric__Specific allowance VND,numeric__General allowance VND,numeric__Total VND
Opening balance,Opening balance,Opening balance,"1,298,619,483,794","1,250,704,327,183","2,549,323,810,977",,,
Allowance made during the year,Allowance made during the year,Allowance made during the year,"2,163,777,088,772","208,282,783,127","2,372,059,871,899",,,
Allowance utilised during the year,Allowance utilised during the year,Allowance utilised during the year,"(1,129,454,142,947)",-,"(1,129,454,142,947)",,,
Allowance utilised related to debts sold to VAMC,Allowance utilised related to debts sold to VAMC,Allowance utilised related to debts sold to VAMC,"(217,871,438,637)",-,"(217,871,438,637)",,,
Closing balance,Closing balance,Closing balance,"2,115,070,990,982","1,458,987,110,310","3,574,058,101,292",,,
Year ended 31 December 2024,Year ended 31 December 2024,Year ended 31 December 2024,Specific allowance VND,General allowance VND,Total VND,,,
Opening balance,Opening balance,Opening balance,"1,418,317,495,091","1,083,831,823,873","2,502,149,318,964",,,
Allowance made during the year,Allowance made during the year,Allowance made during the year,"1,998,381,103,495","225,688,288,561","2,224,069,392,056",,,
Allowance utilised during the year,Allowance utilised during the year,Allowance utilised during the year,"(2,118,079,114,792)","(58,815,785,251)","(2,176,894,900,043)",,,
Closing balance,Closing balance,Closing balance,"1,298,619,483,794","1,250,704,327,183","2,549,323,810,977",,,
