row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025 > Quá hạn VND,Tại ngày 31 tháng 12 năm 2025 > Không nhạy cảm với lãi suất VND,Tại ngày 31 tháng 12 năm 2025 > Dưới 1 tháng VND,Tại ngày 31 tháng 12 năm 2025 > Từ 1 đến 3 tháng VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 3 đến 6 tháng VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 6 đến 12 tháng VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 1 đến 5 năm VND,Tại ngày 31 tháng 12 năm 2025 > Trên 5 năm VND,Tại ngày 31 tháng 12 năm 2025 > Tổng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Quá hạn VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Không nhạy cảm với lãi suất VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Dưới 1 tháng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ 1 đến 3 tháng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 3 đến 6 tháng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 6 đến 12 tháng VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 1 đến 5 năm VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Trên 5 năm VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Tổng VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.160.353.537.112,-,-,-,-,-,-,1.160.353.537.112,,1160353537112.0,,,,,,,1160353537112.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,2.883.240.107.112,-,-,-,-,-,-,2.883.240.107.112,,2883240107112.0,,,,,,,2883240107112.0
"Tiền, vàng gửi và cho vay các TCTD khác","Tài sản > Tiền, vàng gửi và cho vay các TCTD khác","Tiền, vàng gửi và cho vay các TCTD khác",-,3.059.809.217.576,47.891.797.500.000,2.000.000.000.000,-,49.000.000.000,60.727.000.000,-,53.061.333.717.576,,3059809217576.0,47891797500000.0,2000000000000.0,,49000000000.0,60727000000.0,,53061333717576.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,-,-,-,50.765.500.000,-,-,50.765.500.000,,,,,,50765500000.0,,,50765500000.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,171.891.427.668,5.434.301.468,(971.415.473),(202.736.630),(87.675.000.000),-,-,88.476.577.033,,171891427668.0,5434301468.0,-971415473.0,-202736630.0,-87675000000.0,,,88476577033.0
Cho vay khách hàng và mua nợ – gộp,Tài sản > Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,6.741.140.852.220,-,32.887.027.350.825,58.873.114.189.585,65.400.231.392.194,25.737.585.866.464,13.362.814.659.726,-,203.001.914.311.014,6741140852220.0,,32887027350825.0,58873114189585.0,65400231392194.0,25737585866464.0,13362814659726.0,,203001914311014.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,2.612.612.061.468,300.000.000.000,3.000.000.000.000,14.076.000.000.000,21.800.000.000.000,5.383.100.000.000,11.210.000.000.000,58.381.712.061.468,,2612612061468.0,300000000000.0,3000000000000.0,14076000000000.0,21800000000000.0,5383100000000.0,11210000000000.0,58381712061468.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,525.000.000.000,-,-,-,-,-,-,525.000.000.000,,525000000000.0,,,,,,,525000000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,693.605.975.833,-,-,-,-,-,-,693.605.975.833,,693605975833.0,,,,,,,693605975833.0
